aoa	Lift	Drag	LvsD
-5	-0.0839	0.0391	-2.1475
-4	0.0576	0.0400	1.4382
-3	0.1993	0.0437	4.5642
-2	0.3411	0.0499	6.8307
-1	0.4828	0.0589	8.2032
 0	0.6243	0.0704	8.8660
 1	0.7653	0.0860	8.8965
 2	0.9057	0.1043	8.6868
 3	1.0452	0.1249	8.3708
 4	1.1838	0.1477	8.0155
 5	1.3213	0.1728	7.6473
 6	1.4574	0.2002	7.2815
 7	1.5922	0.2298	6.9273
 8	1.7254	0.2618	6.5893
 9	1.8568	0.2961	6.2698
10	1.9675	0.3307	5.9490
11	2.0415	0.3626	5.6308
12	2.0664	0.3883	5.3215
13	2.0555	0.4080	5.0375
14	2.0302	0.4232	4.7973
15	1.9675	0.4300	4.5757
16	1.8687	0.4278	4.3677
17	1.7473	0.4185	4.1757
18	1.6173	0.4043	3.9997
19	1.4962	0.3897	3.8396
20	1.4057	0.3805	3.6946
21	1.3714	0.3850	3.5624
22	1.3893	0.4029	3.4478
23	1.4112	0.4224	3.3408
24	1.4319	0.4422	3.2382
25	1.4514	0.4623	3.1397
26	1.4696	0.4826	3.0450
27	1.4865	0.5033	2.9538
28	1.5022	0.5241	2.8661
29	1.5164	0.5452	2.7814
# cl_max 2.0664 at 12 deg
# cd_min 0.0391 at -5 deg
# ld_max 8.8965 at 1 deg
