aoa	Lift	Drag	LvsD
-5	-0.7778	0.1365	-5.6993
-4	-0.2289	0.1515	-1.5102
-3	0.3211	0.1718	1.8694
-2	0.8715	0.1972	4.4199
-1	1.4216	0.2277	6.2419
 0	1.9707	0.2635	7.4793
 1	2.5184	0.3044	8.2731
 2	3.0638	0.3505	8.7422
 3	3.6062	0.4043	8.9206
 4	4.1445	0.4693	8.8303
 5	4.6783	0.5394	8.6726
 6	5.2069	0.6145	8.4741
 7	5.7298	0.6943	8.2523
 8	6.2463	0.7790	8.0184
 9	6.7557	0.8683	7.7800
10	7.2574	0.9623	7.5418
11	7.7508	1.0607	7.3070
12	8.2353	1.1636	7.0776
13	8.7104	1.2707	6.8548
14	8.2718	1.2766	6.4798
15	8.8234	1.3994	6.3049
16	6.2497	1.0435	5.9892
17	3.9591	0.5789	6.8388
18	4.1222	0.6245	6.6013
19	4.2825	0.6717	6.3757
20	4.4377	0.7201	6.1627
21	4.5876	0.7696	5.9611
22	4.7320	0.8204	5.7675
23	4.8704	0.8730	5.5791
24	5.0030	0.9263	5.4010
25	5.1296	0.9804	5.2319
26	5.2501	1.0353	5.0710
27	5.3643	1.0909	4.9175
28	5.4722	1.1471	4.7706
29	5.5734	1.2038	4.6297
# cl_max 8.8234 at 15 deg
# cd_min 0.1365 at -5 deg
# ld_max 8.9206 at 3 deg
