aoa	Lift	Drag	LvsD
-5	0.7870	0.8222	0.9572
-4	1.1298	0.9038	1.2501
-3	1.4699	0.9883	1.4874
-2	1.8071	1.0756	1.6800
-1	2.1409	1.1658	1.8365
 0	2.4709	1.2586	1.9632
 1	2.7966	1.3540	2.0655
 2	3.1179	1.4519	2.1475
 3	3.4341	1.5521	2.2126
 4	3.7451	1.6546	2.2634
 5	4.0503	1.7593	2.3023
 6	4.3494	1.8659	2.3310
 7	4.6420	1.9745	2.3510
 8	4.9279	2.0848	2.3637
 9	5.2049	2.2081	2.3572
10	5.4728	2.3329	2.3459
11	5.5349	2.3740	2.3315
12	5.2452	2.2585	2.3224
13	4.6899	2.0190	2.3229
14	3.9726	1.6972	2.3406
15	3.1924	1.3410	2.3806
16	2.4810	1.0112	2.4535
17	2.0010	0.7829	2.5557
18	1.8632	0.7159	2.6026
19	1.8742	0.7343	2.5523
20	1.9122	0.7652	2.4990
21	1.9829	0.8039	2.4667
22	2.0842	0.8505	2.4506
23	2.1607	0.8923	2.4214
24	2.2149	0.9295	2.3828
25	2.2651	0.9664	2.3439
26	2.3117	1.0029	2.3049
27	2.3547	1.0392	2.2659
28	2.3940	1.0751	2.2267
29	2.4297	1.1107	2.1876
# cl_max 5.5349 at 11 deg
# cd_min 0.7159 at 18 deg
# ld_max 2.6026 at 18 deg
