aoa	Lift	Drag	LvsD
-5	-1.8904	0.0311	-60.7121
-4	-1.2219	0.0188	-65.0306
-3	-0.5509	0.0128	-42.9351
-2	0.1216	0.0133	9.1406
-1	0.7950	0.0202	39.2640
 0	1.4684	0.0337	43.6064
 1	2.1409	0.0536	39.9468
 2	2.8119	0.0800	35.1433
 3	3.4801	0.1189	29.2811
 4	4.1447	0.1679	24.6833
 5	4.8049	0.2234	21.5104
 6	5.4599	0.2852	19.1454
 7	6.1090	0.3533	17.2923
 8	6.7513	0.4276	15.7890
 9	7.3861	0.5081	14.5382
10	8.0127	0.5946	13.4767
11	8.6302	0.6870	12.5617
12	9.2380	0.7854	11.7627
13	9.6646	0.8710	11.0965
14	9.4117	0.8852	10.6320
15	9.9760	0.9939	10.0373
16	6.7776	0.7145	9.4854
17	4.8434	0.5180	9.3506
18	5.0458	0.5667	8.9045
19	5.2439	0.6172	8.4960
20	5.4360	0.6694	8.1205
21	5.6220	0.7232	7.7736
22	5.8016	0.7789	7.4489
23	5.9742	0.8366	7.1409
24	6.1402	0.8957	6.8551
25	6.2991	0.9560	6.5887
26	6.4509	1.0176	6.3394
27	6.5953	1.0803	6.1052
28	6.7321	1.1440	5.8845
29	6.8613	1.2088	5.6760
# cl_max 9.9760 at 15 deg
# cd_min 0.0128 at -3 deg
# ld_max 43.6064 at 0 deg
