aoa	Lift	Drag	LvsD
-5	-1.8925	0.0353	-53.5465
-4	-1.2238	0.0225	-54.4303
-3	-0.5526	0.0160	-34.5090
-2	0.1201	0.0160	7.5167
-1	0.7937	0.0224	35.4169
 0	1.4673	0.0353	41.5338
 1	2.1401	0.0547	39.0934
 2	2.8114	0.0807	34.8549
 3	3.4799	0.1195	29.1277
 4	4.1447	0.1690	24.5190
 5	4.8051	0.2250	21.3553
 6	5.4603	0.2873	19.0042
 7	6.1096	0.3559	17.1654
 8	6.7521	0.4307	15.6752
 9	7.3871	0.5117	14.4360
10	8.0137	0.5987	13.3848
11	8.6314	0.6917	12.4787
12	9.2392	0.7905	11.6876
13	9.6693	0.8763	11.0337
14	9.4136	0.8877	10.6043
15	9.9793	0.9970	10.0091
16	6.7795	0.7177	9.4464
17	4.8444	0.5212	9.2951
18	5.0468	0.5700	8.8539
19	5.2448	0.6207	8.4498
20	5.4369	0.6730	8.0780
21	5.6228	0.7270	7.7345
22	5.8024	0.7828	7.4128
23	5.9750	0.8407	7.1075
24	6.1409	0.8999	6.8241
25	6.2997	0.9603	6.5599
26	6.4514	1.0220	6.3126
27	6.5958	1.0848	6.0802
28	6.7326	1.1487	5.8611
29	6.8616	1.2136	5.6540
# cl_max 9.9793 at 15 deg
# cd_min 0.0160 at -2 deg
# ld_max 41.5338 at 0 deg
