aoa	Lift	Drag	LvsD
-5	-1.0586	0.0584	-18.1393
-4	-0.6821	0.0630	-10.8242
-3	-0.3045	0.0710	-4.2892
-2	0.0738	0.0823	0.8960
-1	0.4524	0.0970	4.6613
 0	0.8308	0.1151	7.2151
 1	1.2085	0.1366	8.8448
 2	1.5852	0.1615	9.8135
 3	1.9604	0.1898	10.3269
 4	2.3336	0.2215	10.5342
 5	2.7044	0.2566	10.5394
 6	3.0723	0.2950	10.4136
 7	3.4369	0.3368	10.2048
 8	3.7968	0.3882	9.7810
 9	4.1518	0.4460	9.3088
10	4.5019	0.5071	8.8784
11	4.8466	0.5709	8.4886
12	5.1855	0.6377	8.1322
13	5.4325	0.6960	7.8057
14	5.3819	0.7147	7.5300
15	5.0697	0.6943	7.3022
16	4.5626	0.6406	7.1223
17	3.9296	0.5615	6.9989
18	3.3083	0.4768	6.9382
19	2.8570	0.4131	6.9161
20	2.7291	0.3998	6.8268
21	2.7342	0.4112	6.6497
22	2.7956	0.4345	6.4348
23	2.9074	0.4681	6.2105
24	3.0121	0.5018	6.0023
25	3.0961	0.5326	5.8131
26	3.1730	0.5631	5.6345
27	3.2462	0.5941	5.4641
28	3.3155	0.6255	5.3009
29	3.3808	0.6572	5.1445
# cl_max 5.4325 at 13 deg
# cd_min 0.0584 at -5 deg
# ld_max 10.5394 at 5 deg
