aoa	Lift	Drag	LvsD
-5	-1.3286	0.0187	-70.8802
-4	-0.7695	0.0127	-60.6828
-3	-0.2087	0.0121	-17.2131
-2	0.3389	0.0179	18.8977
-1	0.8736	0.0298	29.2784
 0	1.5312	0.0414	37.0045
 1	2.1880	0.0595	36.7579
 2	2.8433	0.0843	33.7346
 3	3.4959	0.1213	28.8265
 4	4.1447	0.1702	24.3536
 5	4.7892	0.2256	21.2265
 6	5.4287	0.2875	18.8799
 7	6.0624	0.3559	17.0351
 8	6.6894	0.4306	15.5362
 9	7.3091	0.5115	14.2883
10	7.9206	0.5987	13.2296
11	8.5233	0.6920	12.3174
12	9.1164	0.7912	11.5216
13	9.6035	0.8866	10.8318
14	9.2205	0.8947	10.3053
15	9.8011	1.0081	9.7219
16	6.5258	0.7240	9.0137
17	4.5362	0.5240	8.6563
18	4.7192	0.5734	8.2300
19	4.8983	0.6247	7.8408
20	5.0719	0.6777	7.4837
21	5.2399	0.7324	7.1545
22	5.4019	0.7889	6.8472
23	5.5575	0.8476	6.5564
24	5.7068	0.9077	6.2869
25	5.8498	0.9691	6.0362
26	5.9861	1.0317	5.8019
27	6.1156	1.0955	5.5822
28	6.2381	1.1605	5.3755
29	6.3536	1.2265	5.1804
# cl_max 9.8011 at 15 deg
# cd_min 0.0121 at -3 deg
# ld_max 37.0045 at 0 deg
