aoa	lift	drag
-15	-0.7448	0.1140
-14	-0.7027	0.1017
-13	-0.7484	0.1074
-12	-0.9421	0.1378
-11	-1.1452	0.1584
-10	-1.1948	0.1496
-9	-1.0945	0.1245
-8	-0.9480	0.0975
-7	-0.7994	0.0732
-6	-0.6494	0.0516
-5	-0.4983	0.0328
-4	-0.3459	0.0217
-3	-0.1923	0.0215
-2	-0.0386	0.0256
-1	0.1150	0.0325
 0	0.2684	0.0423
 1	0.4214	0.0550
 2	0.5736	0.0704
 3	0.7251	0.0887
 4	0.8756	0.1098
 5	1.0249	0.1335
 6	1.1728	0.1601
 7	1.3181	0.1891
 8	1.3516	0.2001
 9	1.1045	0.1583
10	0.7271	0.0953
11	0.5067	0.0682
12	0.4646	0.0685
13	0.5018	0.0785
14	0.5432	0.0896
15	0.5838	0.1013
16	0.6235	0.1136
17	0.6623	0.1265
18	0.7002	0.1398
19	0.7370	0.1537
20	0.7729	0.1681
21	0.7891	0.1795
22	0.7912	0.1886
23	0.8386	0.2070
24	0.8964	0.2285
25	0.9298	0.2457
26	0.9553	0.2620
27	0.9797	0.2786
28	1.0027	0.2955
29	1.0245	0.3126
30	1.0451	0.3301
31	1.0642	0.3478
32	1.0821	0.3658
33	1.0986	0.3840
34	1.1136	0.4023
35	1.1273	0.4209
36	1.1396	0.4396
37	1.1504	0.4584
38	1.1598	0.4773
39	1.1677	0.4963
40	1.1742	0.5154
41	1.1792	0.5344
42	1.1827	0.5535
43	1.1847	0.5726
44	1.1852	0.5917
45	1.1843	0.6107
46	1.1818	0.6297
47	1.1779	0.6485
48	1.1725	0.6672
49	1.1656	0.6858
50	1.1573	0.7042
51	1.1475	0.7224
52	1.1363	0.7404
53	1.1237	0.7582
54	1.1096	0.7757
55	1.0942	0.7929
56	1.0774	0.8099
57	1.0592	0.8265
58	1.0397	0.8428
59	1.0189	0.8588
60	0.9968	0.8744
61	0.9734	0.8896
62	0.9489	0.9044
63	0.9231	0.9187
64	0.8962	0.9326
65	0.8681	0.9461
66	0.8390	0.9591
67	0.8088	0.9716
68	0.7776	0.9836
69	0.7453	0.9951
70	0.7122	1.0060
71	0.6781	1.0164
72	0.6432	1.0262
73	0.6074	1.0355
74	0.5709	1.0442
75	0.5336	1.0523
76	0.4957	1.0598
77	0.4571	1.0667
78	0.4179	1.0730
79	0.3781	1.0786
80	0.3379	1.0836
81	0.2972	1.0880
82	0.2562	1.0918
83	0.2147	1.0949
84	0.1730	1.0973
85	0.1310	1.0991
86	0.0889	1.1003
87	0.0466	1.1008
88	0.0042	1.1006
89	-0.0383	1.0998
90	-0.0184	1.0989
# cl_max 1.3516 at 8 deg
# cd_min 0.0215 at -3 deg
# ld_max 8.1735 at 3 deg
