aoa	Lift	Drag	LvsD
-10	-1.2027	0.1557	-7.7269
-9	-1.1040	0.1306	-8.4528
-8	-0.9596	0.1037	-9.2576
-7	-0.8131	0.0793	-10.2491
-6	-0.6653	0.0577	-11.5246
-5	-0.5163	0.0389	-13.2864
-4	-0.3659	0.0275	-13.3001
-3	-0.2145	0.0270	-7.9518
-2	-0.0628	0.0307	-2.0484
-1	0.0888	0.0372	2.3855
 0	0.2401	0.0465	5.1602
 1	0.3911	0.0587	6.6672
 2	0.5414	0.0736	7.3605
 3	0.6909	0.0912	7.5752
 4	0.8395	0.1116	7.5222
 5	0.9870	0.1347	7.3265
 6	1.1331	0.1605	7.0598
 7	1.2767	0.1887	6.7638
 8	1.3099	0.1993	6.5741
 9	1.0660	0.1576	6.7624
10	0.6936	0.0950	7.3038
11	0.4764	0.0662	7.1934
12	0.4355	0.0645	6.7526
13	0.4726	0.0738	6.4033
14	0.5137	0.0848	6.0542
15	0.5540	0.0965	5.7431
16	0.5934	0.1086	5.4630
17	0.6320	0.1213	5.2087
18	0.6697	0.1346	4.9761
19	0.7064	0.1483	4.7621
20	0.7420	0.1626	4.5642
21	0.7754	0.1771	4.3795
22	0.7801	0.1862	4.1895
23	0.7922	0.1972	4.0165
24	0.8550	0.2200	3.8866
25	0.9123	0.2426	3.7602
26	0.9409	0.2595	3.6258
27	0.9651	0.2760	3.4970
28	0.9880	0.2928	3.3749
29	1.0097	0.3098	3.2588
30	1.0300	0.3272	3.1483
31	1.0491	0.3448	3.0429
32	1.0668	0.3626	2.9421
33	1.0832	0.3807	2.8456
34	1.0982	0.3989	2.7532
35	1.1118	0.4173	2.6644
36	1.1240	0.4358	2.5790
37	1.1348	0.4545	2.4967
38	1.1442	0.4733	2.4174
39	1.1521	0.4922	2.3409
40	1.1585	0.5111	2.2669
41	1.1635	0.5300	2.1952
42	1.1670	0.5490	2.1258
43	1.1690	0.5679	2.0585
44	1.1696	0.5868	1.9931
45	1.1687	0.6057	1.9296
# cl_max 1.3099 at 8 deg
# cd_min 0.0270 at -3 deg
# ld_max 7.5752 at 3 deg
