aoa	lift	drag
-15	-0.7553	0.1214
-14	-0.7154	0.1093
-13	-0.7609	0.1146
-12	-0.9526	0.1444
-11	-1.1534	0.1645
-10	-1.2028	0.1555
-9	-1.1040	0.1305
-8	-0.9596	0.1035
-7	-0.8131	0.0791
-6	-0.6653	0.0575
-5	-0.5163	0.0386
-4	-0.3660	0.0273
-3	-0.2145	0.0267
-2	-0.0629	0.0304
-1	0.0887	0.0369
 0	0.2401	0.0462
 1	0.3911	0.0584
 2	0.5414	0.0732
 3	0.6910	0.0909
 4	0.8395	0.1113
 5	0.9870	0.1344
 6	1.1331	0.1602
 7	1.2767	0.1884
 8	1.3099	0.1989
 9	1.0661	0.1573
10	0.6936	0.0946
11	0.4765	0.0659
12	0.4355	0.0642
13	0.4727	0.0735
14	0.5137	0.0845
15	0.5540	0.0962
16	0.5935	0.1083
17	0.6321	0.1210
18	0.6697	0.1343
19	0.7064	0.1480
20	0.7421	0.1623
21	0.7755	0.1768
22	0.7802	0.1859
23	0.7923	0.1970
24	0.8551	0.2197
25	0.9124	0.2424
26	0.9410	0.2593
27	0.9652	0.2757
28	0.9881	0.2925
29	1.0098	0.3096
30	1.0301	0.3270
31	1.0492	0.3446
32	1.0670	0.3624
33	1.0833	0.3805
34	1.0983	0.3987
35	1.1120	0.4171
36	1.1242	0.4357
37	1.1349	0.4544
38	1.1443	0.4731
39	1.1522	0.4920
40	1.1586	0.5109
41	1.1636	0.5299
42	1.1671	0.5488
43	1.1692	0.5678
44	1.1697	0.5867
45	1.1688	0.6056
46	1.1664	0.6243
47	1.1626	0.6430
48	1.1572	0.6616
49	1.1505	0.6800
50	1.1422	0.6982
51	1.1325	0.7163
52	1.1214	0.7341
53	1.1089	0.7517
54	1.0950	0.7690
55	1.0797	0.7861
56	1.0630	0.8029
57	1.0450	0.8194
58	1.0257	0.8355
59	1.0051	0.8512
60	0.9832	0.8666
61	0.9600	0.8816
62	0.9357	0.8962
63	0.9101	0.9104
64	0.8834	0.9241
65	0.8556	0.9374
66	0.8267	0.9501
67	0.7968	0.9624
68	0.7658	0.9742
69	0.7338	0.9855
70	0.7010	0.9962
71	0.6672	1.0064
72	0.6325	1.0160
73	0.5971	1.0250
74	0.5609	1.0335
75	0.5239	1.0414
76	0.4863	1.0487
77	0.4481	1.0553
78	0.4092	1.0614
79	0.3698	1.0668
80	0.3300	1.0716
81	0.2897	1.0758
82	0.2490	1.0794
83	0.2079	1.0822
84	0.1666	1.0845
85	0.1250	1.0861
86	0.0832	1.0870
87	0.0413	1.0873
88	-0.0007	1.0870
89	-0.0427	1.0860
90	-0.0083	1.0851
# cl_max 1.3099 at 8 deg
# cd_min 0.0267 at -3 deg
# ld_max 7.6011 at 3 deg
