aoa	knots	lift
-0.0 	 179.602 	 100.289
0.1 	 175.301 	 100.957
0.2 	 171.201 	 100.465
0.3 	 167.401 	 100.298
0.4 	 163.901 	 100.821
0.5 	 160.601 	 101.157
0.6 	 157.400 	 100.312
0.7 	 154.500 	 100.992
0.8 	 151.700 	 100.903
0.9 	 149.000 	 100.189
1.0 	 146.500 	 100.324
1.1 	 144.100 	 100.142
1.2 	 141.899 	 101.144
1.3 	 139.699 	 100.699
1.4 	 137.599 	 100.279
1.5 	 135.699 	 101.434
1.6 	 133.799 	 101.388
1.7 	 131.899 	 100.177
1.8 	 130.199 	 100.847
1.9 	 128.499 	 100.492
2.0 	 126.899 	 100.687
2.1 	 125.399 	 101.512
2.2 	 123.899 	 101.463
2.3 	 122.399 	 100.558
2.4 	 120.999 	 100.443
2.5 	 119.699 	 101.192
2.6 	 118.399 	 101.215
2.7 	 117.099 	 100.528
2.8 	 115.899 	 100.843
2.9 	 114.699 	 100.513
3.0 	 113.599 	 101.283
3.1 	 112.499 	 101.467
3.2 	 111.399 	 101.079
3.3 	 110.299 	 100.129
3.4 	 109.299 	 100.426
3.5 	 108.299 	 100.215
3.6 	 107.399 	 101.337
3.7 	 106.399 	 100.153
3.8 	 105.499 	 100.352
3.9 	 104.599 	 100.109
4.0 	 103.799 	 101.329
4.1 	 102.899 	 100.241
4.2 	 102.099 	 100.661
4.3 	 101.299 	 100.698
4.4 	 100.499 	 100.359
4.5 	 99.799 	 101.623
4.6 	 98.999 	 100.564
4.7 	 98.299 	 101.149
4.8 	 97.599 	 101.410
4.9 	 96.899 	 101.351
5.0 	 96.199 	 100.977
5.1 	 95.499 	 100.293
5.2 	 94.899 	 101.379
5.3 	 94.199 	 100.102
5.4 	 93.599 	 100.631
5.5 	 92.999 	 100.895
5.6 	 92.399 	 100.896
5.7 	 91.799 	 100.639
5.8 	 91.199 	 100.127
5.9 	 90.699 	 101.536
6.0 	 90.099 	 100.537
6.1 	 89.599 	 101.493
6.2 	 88.999 	 100.018
6.3 	 88.499 	 100.531
6.4 	 87.999 	 100.834
6.5 	 87.499 	 100.929
6.6 	 86.999 	 100.817
6.7 	 86.499 	 100.503
6.8 	 86.099 	 102.281
6.9 	 85.599 	 101.580
7.0 	 85.099 	 100.683
7.1 	 84.699 	 101.923
7.2 	 84.199 	 100.652
7.3 	 83.799 	 101.548
7.4 	 83.399 	 102.280
7.5 	 82.899 	 100.470
7.6 	 82.499 	 100.869
7.7 	 82.099 	 101.110
7.8 	 81.699 	 101.194
7.9 	 81.299 	 101.124
8.0 	 80.899 	 100.901
8.1 	 80.499 	 100.527
8.2 	 80.099 	 100.003
