aoa	lift	drag	lvsd
-5.0	-0.664	0.060	-11.050
-4.9	-0.639	0.061	-10.529
-4.8	-0.614	0.061	-10.014
-4.7	-0.589	0.062	-9.506
-4.6	-0.564	0.063	-9.005
-4.5	-0.539	0.063	-8.512
-4.4	-0.514	0.064	-8.027
-4.3	-0.489	0.065	-7.549
-4.2	-0.463	0.065	-7.080
-4.1	-0.438	0.066	-6.619
-4.0	-0.413	0.067	-6.166
-3.9	-0.388	0.068	-5.722
-3.8	-0.363	0.069	-5.287
-3.7	-0.338	0.069	-4.860
-3.6	-0.313	0.070	-4.443
-3.5	-0.287	0.071	-4.034
-3.4	-0.262	0.072	-3.634
-3.3	-0.237	0.073	-3.244
-3.2	-0.212	0.074	-2.862
-3.1	-0.187	0.075	-2.489
-3.0	-0.162	0.076	-2.126
-2.9	-0.136	0.077	-1.764
-2.8	-0.111	0.079	-1.406
-2.7	-0.086	0.081	-1.063
-2.6	-0.061	0.083	-0.735
-2.5	-0.036	0.085	-0.422
-2.4	-0.010	0.086	-0.121
-2.3	0.015	0.088	0.167
-2.2	0.040	0.090	0.443
-2.1	0.065	0.092	0.708
-2.0	0.090	0.094	0.963
-1.9	0.109	0.096	1.140
-1.8	0.113	0.099	1.146
-1.7	0.110	0.102	1.075
-1.6	0.107	0.106	1.014
-1.5	0.112	0.109	1.034
-1.4	0.132	0.111	1.193
-1.3	0.159	0.113	1.417
-1.2	0.187	0.114	1.634
-1.1	0.214	0.116	1.843
-1.0	0.241	0.118	2.046
-0.9	0.269	0.120	2.243
-0.8	0.296	0.122	2.433
-0.7	0.323	0.123	2.618
-0.6	0.350	0.125	2.796
-0.5	0.378	0.127	2.969
-0.4	0.405	0.129	3.136
-0.3	0.432	0.131	3.298
-0.2	0.460	0.133	3.455
-0.1	0.487	0.135	3.606
-0.0	0.514	0.137	3.753
0.1	0.541	0.139	3.895
0.2	0.568	0.141	4.033
0.3	0.596	0.143	4.166
0.4	0.623	0.145	4.295
0.5	0.650	0.147	4.420
0.6	0.677	0.149	4.541
0.7	0.704	0.151	4.657
0.8	0.732	0.153	4.770
0.9	0.759	0.155	4.880
1.0	0.786	0.158	4.986
1.1	0.813	0.160	5.088
1.2	0.840	0.162	5.187
1.3	0.867	0.164	5.282
1.4	0.894	0.166	5.375
1.5	0.921	0.169	5.464
1.6	0.948	0.171	5.550
1.7	0.975	0.173	5.634
1.8	1.002	0.175	5.714
1.9	1.029	0.178	5.792
2.0	1.056	0.180	5.867
2.1	1.083	0.182	5.940
2.2	1.110	0.185	6.010
2.3	1.137	0.187	6.077
2.4	1.164	0.190	6.142
2.5	1.191	0.192	6.205
2.6	1.218	0.194	6.265
2.7	1.245	0.197	6.324
2.8	1.272	0.199	6.380
2.9	1.299	0.202	6.434
3.0	1.326	0.204	6.486
3.1	1.353	0.207	6.536
3.2	1.379	0.210	6.584
3.3	1.406	0.212	6.631
3.4	1.433	0.215	6.675
3.5	1.460	0.217	6.718
3.6	1.487	0.220	6.759
3.7	1.513	0.223	6.799
3.8	1.540	0.225	6.837
3.9	1.567	0.228	6.873
4.0	1.593	0.231	6.908
4.1	1.620	0.233	6.941
4.2	1.647	0.236	6.973
4.3	1.673	0.239	7.003
4.4	1.700	0.242	7.032
4.5	1.726	0.245	7.060
4.6	1.753	0.247	7.086
4.7	1.780	0.250	7.111
4.8	1.806	0.253	7.135
4.9	1.833	0.256	7.158
5.0	1.859	0.259	7.179
5.1	1.885	0.262	7.200
5.2	1.912	0.265	7.219
5.3	1.938	0.268	7.237
5.4	1.965	0.271	7.254
5.5	1.991	0.274	7.270
5.6	2.017	0.277	7.286
5.7	2.044	0.280	7.300
5.8	2.070	0.283	7.313
5.9	2.096	0.286	7.325
6.0	2.122	0.289	7.337
6.1	2.149	0.292	7.347
6.2	2.175	0.296	7.357
6.3	2.201	0.299	7.366
6.4	2.227	0.302	7.374
6.5	2.253	0.305	7.382
6.6	2.279	0.308	7.388
6.7	2.305	0.312	7.394
6.8	2.331	0.315	7.399
6.9	2.357	0.318	7.404
7.0	2.383	0.322	7.408
7.1	2.409	0.325	7.411
7.2	2.435	0.328	7.413
7.3	2.461	0.332	7.415
7.4	2.487	0.335	7.417
7.5	2.512	0.339	7.417
7.6	2.538	0.342	7.418
7.7	2.564	0.346	7.417
7.8	2.590	0.349	7.416
7.9	2.615	0.353	7.415
8.0	2.641	0.356	7.413
8.1	2.667	0.360	7.410
8.2	2.692	0.363	7.407
8.3	2.718	0.367	7.404
8.4	2.743	0.371	7.400
8.5	2.769	0.374	7.396
8.6	2.794	0.378	7.391
8.7	2.820	0.382	7.386
8.8	2.845	0.385	7.381
8.9	2.870	0.389	7.375
9.0	2.896	0.393	7.368
9.1	2.921	0.397	7.362
9.2	2.946	0.401	7.355
9.3	2.971	0.404	7.347
9.4	2.997	0.408	7.340
9.5	3.022	0.412	7.332
9.6	3.047	0.416	7.323
9.7	3.072	0.420	7.315
9.8	3.097	0.424	7.306
9.9	3.122	0.428	7.297
10.0	3.147	0.432	7.282
10.1	3.172	0.437	7.261
10.2	3.197	0.441	7.241
10.3	3.221	0.446	7.220
10.4	3.246	0.451	7.200
10.5	3.271	0.456	7.179
10.6	3.295	0.460	7.159
10.7	3.320	0.465	7.138
10.8	3.345	0.470	7.117
10.9	3.369	0.475	7.097
11.0	3.393	0.480	7.076
11.1	3.418	0.484	7.056
11.2	3.442	0.489	7.035
11.3	3.467	0.494	7.015
11.4	3.491	0.499	6.994
11.5	3.515	0.504	6.974
11.6	3.539	0.509	6.954
11.7	3.564	0.514	6.933
11.8	3.588	0.519	6.913
11.9	3.612	0.524	6.892
12.0	3.636	0.529	6.872
12.1	3.660	0.534	6.852
12.2	3.684	0.539	6.832
12.3	3.708	0.544	6.812
12.4	3.731	0.549	6.791
12.5	3.755	0.555	6.771
12.6	3.779	0.560	6.751
12.7	3.803	0.565	6.731
12.8	3.826	0.570	6.711
12.9	3.850	0.575	6.691
13.0	3.874	0.581	6.672
13.1	3.897	0.586	6.652
13.2	3.921	0.591	6.632
13.3	3.944	0.596	6.612
13.4	3.967	0.602	6.593
13.5	3.991	0.607	6.573
13.6	4.014	0.612	6.554
13.7	4.037	0.618	6.534
13.8	4.060	0.623	6.515
13.9	4.083	0.629	6.496
14.0	4.106	0.634	6.476
14.1	4.129	0.640	6.457
14.2	4.152	0.645	6.438
14.3	4.175	0.650	6.419
14.4	4.198	0.656	6.400
14.5	4.221	0.661	6.381
14.6	4.244	0.667	6.362
14.7	4.266	0.673	6.343
14.8	4.287	0.678	6.323
14.9	4.305	0.683	6.303
15.0	4.320	0.688	6.282
15.1	4.334	0.692	6.259
15.2	4.345	0.697	6.237
15.3	4.353	0.701	6.213
15.4	4.359	0.704	6.189
15.5	4.362	0.708	6.164
15.6	4.363	0.711	6.139
15.7	4.361	0.713	6.112
15.8	4.356	0.716	6.086
15.9	4.349	0.718	6.058
16.0	4.340	0.720	6.031
16.1	4.328	0.721	6.002
16.2	4.314	0.722	5.973
16.3	4.297	0.723	5.944
16.4	4.279	0.723	5.914
16.5	4.258	0.724	5.884
16.6	4.235	0.723	5.853
16.7	4.210	0.723	5.822
16.8	4.183	0.722	5.790
16.9	4.154	0.721	5.758
17.0	4.123	0.720	5.726
17.1	4.090	0.719	5.693
17.2	4.056	0.717	5.660
17.3	4.020	0.715	5.626
17.4	3.983	0.712	5.592
17.5	3.944	0.710	5.557
17.6	3.903	0.707	5.523
17.7	3.862	0.704	5.487
17.8	3.819	0.700	5.452
17.9	3.775	0.697	5.416
18.0	3.730	0.693	5.380
18.1	3.684	0.689	5.343
18.2	3.637	0.685	5.306
18.3	3.589	0.681	5.269
18.4	3.540	0.677	5.231
18.5	3.491	0.672	5.194
18.6	3.441	0.668	5.156
18.7	3.391	0.663	5.117
18.8	3.341	0.658	5.079
18.9	3.291	0.653	5.040
19.0	3.240	0.648	5.002
19.1	3.189	0.643	4.963
19.2	3.139	0.637	4.924
19.3	3.088	0.632	4.885
19.4	3.039	0.627	4.846
19.5	2.989	0.622	4.807
19.6	2.940	0.617	4.768
19.7	2.892	0.612	4.729
19.8	2.845	0.606	4.691
19.9	2.798	0.601	4.653
20.0	2.751	0.596	4.615
20.1	2.704	0.591	4.579
20.2	2.658	0.585	4.543
20.3	2.613	0.580	4.507
20.4	2.568	0.574	4.473
20.5	2.524	0.568	4.439
20.6	2.481	0.563	4.407
20.7	2.439	0.557	4.376
20.8	2.399	0.552	4.346
20.9	2.360	0.547	4.317
21.0	2.324	0.542	4.290
21.1	2.289	0.537	4.264
21.2	2.257	0.532	4.240
21.3	2.228	0.528	4.218
21.4	2.202	0.525	4.198
21.5	2.180	0.521	4.180
21.6	2.160	0.519	4.164
21.7	2.144	0.517	4.151
21.8	2.133	0.515	4.140
21.9	2.124	0.514	4.132
22.0	2.117	0.513	4.124
22.1	2.110	0.513	4.116
22.2	2.104	0.512	4.108
22.3	2.098	0.512	4.101
22.4	2.092	0.511	4.093
22.5	2.087	0.511	4.085
22.6	2.083	0.511	4.078
22.7	2.080	0.511	4.071
22.8	2.077	0.511	4.063
22.9	2.075	0.512	4.056
23.0	2.074	0.512	4.049
23.1	2.074	0.513	4.042
23.2	2.075	0.514	4.034
23.3	2.077	0.516	4.027
23.4	2.080	0.518	4.020
23.5	2.085	0.520	4.012
23.6	2.090	0.522	4.005
23.7	2.097	0.525	3.998
23.8	2.106	0.528	3.990
23.9	2.115	0.531	3.982
24.0	2.126	0.535	3.975
24.1	2.138	0.539	3.966
24.2	2.150	0.543	3.958
24.3	2.162	0.547	3.950
24.4	2.174	0.551	3.942
24.5	2.185	0.556	3.934
24.6	2.197	0.560	3.925
24.7	2.208	0.564	3.917
24.8	2.219	0.568	3.909
24.9	2.229	0.571	3.901
