aoa	knots	lift
-0.4 	 178.902 	 100.754
-0.3 	 172.801 	 100.674
-0.2 	 167.301 	 100.770
-0.1 	 162.301 	 100.913
-0.0 	 157.700 	 100.736
0.1 	 153.500 	 100.942
0.2 	 149.600 	 100.866
0.3 	 146.000 	 101.011
0.4 	 142.600 	 100.467
0.5 	 139.499 	 100.982
0.6 	 136.499 	 100.091
0.7 	 133.799 	 100.935
0.8 	 131.199 	 100.891
0.9 	 128.699 	 100.134
1.0 	 126.399 	 100.387
1.1 	 124.199 	 100.307
1.2 	 122.099 	 100.040
1.3 	 120.199 	 101.361
1.4 	 118.299 	 101.158
1.5 	 116.499 	 101.167
1.6 	 114.799 	 101.508
1.7 	 113.099 	 100.560
1.8 	 111.499 	 100.120
1.9 	 109.999 	 100.296
2.0 	 108.599 	 101.192
2.1 	 107.199 	 101.073
2.2 	 105.899 	 101.823
2.3 	 104.599 	 101.655
2.4 	 103.299 	 100.593
2.5 	 102.099 	 100.582
2.6 	 100.999 	 101.708
2.7 	 99.799 	 100.119
2.8 	 98.799 	 101.737
2.9 	 97.699 	 100.673
3.0 	 96.699 	 100.942
3.1 	 95.699 	 100.569
3.2 	 94.799 	 101.642
3.3 	 93.799 	 100.044
3.4 	 92.999 	 102.072
3.5 	 92.099 	 101.451
3.6 	 91.199 	 100.288
3.7 	 90.399 	 100.766
3.8 	 89.599 	 100.761
3.9 	 88.799 	 100.281
4.0 	 88.099 	 101.567
4.1 	 87.299 	 100.180
4.2 	 86.599 	 100.612
4.3 	 85.899 	 100.639
4.4 	 85.199 	 100.265
4.5 	 84.599 	 101.826
4.6 	 83.899 	 100.690
4.7 	 83.299 	 101.537
4.8 	 82.699 	 102.044
4.9 	 82.099 	 102.217
5.0 	 81.499 	 102.061
5.1 	 80.899 	 101.580
5.2 	 80.299 	 100.780
5.3 	 79.799 	 102.134
5.4 	 79.199 	 100.726
5.5 	 78.699 	 101.514
5.6 	 78.199 	 102.033
5.7 	 77.699 	 102.288
5.8 	 77.199 	 102.282
5.9 	 76.699 	 102.018
6.0 	 76.199 	 101.499
6.1 	 75.699 	 100.729
6.2 	 75.299 	 102.331
6.3 	 74.799 	 101.084
6.4 	 74.399 	 102.247
6.5 	 73.899 	 100.536
6.6 	 73.499 	 101.270
6.7 	 73.099 	 101.803
6.8 	 72.699 	 102.136
6.9 	 72.299 	 102.272
