aoa	lift	drag	lvsd
-5.0	-1.178	0.116	-10.116
-4.9	-1.145	0.115	-9.972
-4.8	-1.111	0.115	-9.690
-4.7	-1.078	0.115	-9.357
-4.6	-1.044	0.116	-9.026
-4.5	-1.010	0.116	-8.695
-4.4	-0.977	0.117	-8.366
-4.3	-0.943	0.117	-8.039
-4.2	-0.909	0.118	-7.713
-4.1	-0.876	0.119	-7.389
-4.0	-0.842	0.119	-7.067
-3.9	-0.809	0.120	-6.748
-3.8	-0.775	0.121	-6.430
-3.7	-0.741	0.121	-6.115
-3.6	-0.708	0.122	-5.803
-3.5	-0.674	0.123	-5.493
-3.4	-0.640	0.123	-5.186
-3.3	-0.607	0.124	-4.882
-3.2	-0.573	0.125	-4.580
-3.1	-0.539	0.126	-4.282
-3.0	-0.506	0.127	-3.987
-2.9	-0.472	0.128	-3.696
-2.8	-0.438	0.129	-3.408
-2.7	-0.404	0.130	-3.123
-2.6	-0.371	0.130	-2.842
-2.5	-0.337	0.131	-2.564
-2.4	-0.303	0.132	-2.290
-2.3	-0.270	0.133	-2.020
-2.2	-0.236	0.135	-1.754
-2.1	-0.202	0.136	-1.492
-2.0	-0.169	0.137	-1.233
-1.9	-0.135	0.138	-0.979
-1.8	-0.101	0.139	-0.728
-1.7	-0.068	0.140	-0.482
-1.6	-0.034	0.141	-0.239
-1.5	-0.000	0.143	-0.001
-1.4	0.034	0.144	0.233
-1.3	0.067	0.145	0.463
-1.2	0.101	0.146	0.689
-1.1	0.135	0.148	0.911
-1.0	0.168	0.149	1.129
-0.9	0.202	0.150	1.342
-0.8	0.236	0.152	1.552
-0.7	0.269	0.153	1.757
-0.6	0.303	0.155	1.958
-0.5	0.337	0.156	2.155
-0.4	0.370	0.158	2.348
-0.3	0.404	0.159	2.537
-0.2	0.437	0.161	2.722
-0.1	0.471	0.162	2.903
-0.0	0.505	0.164	3.079
0.1	0.538	0.165	3.252
0.2	0.572	0.167	3.421
0.3	0.605	0.169	3.586
0.4	0.639	0.171	3.747
0.5	0.673	0.172	3.905
0.6	0.706	0.174	4.058
0.7	0.740	0.176	4.208
0.8	0.773	0.178	4.354
0.9	0.807	0.179	4.497
1.0	0.840	0.181	4.636
1.1	0.874	0.183	4.771
1.2	0.907	0.185	4.903
1.3	0.941	0.187	5.032
1.4	0.974	0.189	5.157
1.5	1.008	0.191	5.278
1.6	1.041	0.193	5.397
1.7	1.074	0.195	5.512
1.8	1.108	0.197	5.624
1.9	1.141	0.199	5.732
2.0	1.175	0.201	5.838
2.1	1.208	0.203	5.941
2.2	1.241	0.205	6.040
2.3	1.275	0.208	6.137
2.4	1.308	0.210	6.231
2.5	1.341	0.212	6.322
2.6	1.374	0.214	6.410
2.7	1.408	0.217	6.496
2.8	1.441	0.219	6.579
2.9	1.474	0.221	6.659
3.0	1.507	0.224	6.737
3.1	1.540	0.226	6.812
3.2	1.574	0.229	6.885
3.3	1.607	0.231	6.955
3.4	1.640	0.233	7.023
3.5	1.673	0.236	7.089
3.6	1.706	0.239	7.152
3.7	1.739	0.241	7.213
3.8	1.772	0.244	7.272
3.9	1.805	0.246	7.329
4.0	1.838	0.249	7.384
4.1	1.871	0.252	7.437
4.2	1.904	0.254	7.488
4.3	1.937	0.257	7.537
4.4	1.970	0.260	7.584
4.5	2.002	0.262	7.629
4.6	2.035	0.265	7.672
4.7	2.068	0.268	7.714
4.8	2.101	0.271	7.754
4.9	2.134	0.274	7.792
5.0	2.166	0.277	7.828
5.1	2.199	0.280	7.863
5.2	2.232	0.283	7.897
5.3	2.264	0.286	7.929
5.4	2.297	0.289	7.959
5.5	2.330	0.292	7.988
5.6	2.362	0.295	8.016
5.7	2.395	0.298	8.042
5.8	2.427	0.301	8.067
5.9	2.460	0.304	8.090
6.0	2.492	0.307	8.112
6.1	2.524	0.310	8.133
6.2	2.557	0.314	8.153
6.3	2.589	0.317	8.172
6.4	2.621	0.320	8.189
6.5	2.654	0.323	8.206
6.6	2.686	0.327	8.221
6.7	2.718	0.330	8.235
6.8	2.750	0.333	8.248
6.9	2.782	0.337	8.260
7.0	2.814	0.340	8.272
7.1	2.846	0.344	8.282
7.2	2.878	0.347	8.291
7.3	2.910	0.351	8.299
7.4	2.942	0.354	8.307
7.5	2.974	0.358	8.314
7.6	3.006	0.361	8.319
7.7	3.038	0.365	8.324
7.8	3.070	0.369	8.329
7.9	3.102	0.372	8.332
8.0	3.133	0.376	8.335
8.1	3.165	0.380	8.337
8.2	3.197	0.383	8.338
8.3	3.228	0.387	8.339
8.4	3.260	0.391	8.338
8.5	3.291	0.395	8.338
8.6	3.323	0.399	8.336
8.7	3.354	0.402	8.334
8.8	3.386	0.406	8.332
8.9	3.417	0.410	8.329
