knots	drag
0.000	-0.097
0.100	-0.096
0.200	-0.096
0.300	-0.095
0.400	-0.095
0.500	-0.094
0.600	-0.094
0.700	-0.093
0.800	-0.093
0.900	-0.092
1.000	-0.092
1.100	-0.091
1.200	-0.091
1.300	-0.090
1.400	-0.090
1.500	-0.090
1.600	-0.089
1.700	-0.089
1.800	-0.088
1.900	-0.088
2.000	-0.087
2.100	-0.087
2.200	-0.086
2.300	-0.086
2.400	-0.085
2.500	-0.085
2.600	-0.085
2.700	-0.084
2.800	-0.084
2.900	-0.083
3.000	-0.083
3.100	-0.082
3.200	-0.082
3.300	-0.082
3.400	-0.081
3.500	-0.081
3.600	-0.080
3.700	-0.080
3.800	-0.079
3.900	-0.079
4.000	-0.079
4.100	-0.078
4.200	-0.078
4.300	-0.077
4.400	-0.077
4.500	-0.076
4.600	-0.076
4.700	-0.076
4.800	-0.075
4.900	-0.075
5.000	-0.074
5.100	-0.074
5.200	-0.074
5.300	-0.073
5.400	-0.073
5.500	-0.072
5.600	-0.072
5.700	-0.072
5.800	-0.071
5.900	-0.071
6.000	-0.070
6.100	-0.070
6.200	-0.070
6.300	-0.069
6.400	-0.069
6.500	-0.069
6.600	-0.068
6.700	-0.068
6.800	-0.067
6.900	-0.067
7.000	-0.067
7.100	-0.066
7.200	-0.066
7.300	-0.066
7.400	-0.065
7.500	-0.065
7.600	-0.064
7.700	-0.064
7.800	-0.064
7.900	-0.063
8.000	-0.063
8.100	-0.063
8.200	-0.062
8.300	-0.062
8.400	-0.062
8.500	-0.061
8.600	-0.061
8.700	-0.060
8.800	-0.060
8.900	-0.060
9.000	-0.059
9.100	-0.059
9.200	-0.059
9.300	-0.058
9.400	-0.058
9.500	-0.058
9.600	-0.057
9.700	-0.057
9.800	-0.057
9.900	-0.056
10.000	-0.056
10.100	-0.056
10.200	-0.055
10.300	-0.055
10.400	-0.055
10.500	-0.054
10.600	-0.054
10.700	-0.054
10.800	-0.053
10.900	-0.053
11.000	-0.053
11.100	-0.052
11.200	-0.052
11.300	-0.052
11.400	-0.051
11.500	-0.051
11.600	-0.051
11.700	-0.050
11.800	-0.050
11.900	-0.050
12.000	-0.049
12.100	-0.049
12.200	-0.049
12.300	-0.048
12.400	-0.048
12.500	-0.048
12.600	-0.047
12.700	-0.047
12.800	-0.047
12.900	-0.046
13.000	-0.046
13.100	-0.046
13.200	-0.045
13.300	-0.045
13.400	-0.045
13.500	-0.044
13.600	-0.044
13.700	-0.044
13.800	-0.043
13.900	-0.043
14.000	-0.043
14.100	-0.043
14.200	-0.042
14.300	-0.042
14.400	-0.042
14.500	-0.041
14.600	-0.041
14.700	-0.041
14.800	-0.040
14.900	-0.040
15.000	-0.040
15.100	-0.039
15.200	-0.039
15.300	-0.039
15.400	-0.038
15.500	-0.038
15.600	-0.038
15.700	-0.038
15.800	-0.037
15.900	-0.037
16.000	-0.037
16.100	-0.036
16.200	-0.036
16.300	-0.036
16.400	-0.035
16.500	-0.035
16.600	-0.035
16.700	-0.035
16.800	-0.034
16.900	-0.034
17.000	-0.034
17.100	-0.033
17.200	-0.033
17.300	-0.033
17.400	-0.032
17.500	-0.032
17.600	-0.032
17.700	-0.032
17.800	-0.031
17.900	-0.031
18.000	-0.031
18.100	-0.030
18.200	-0.030
18.300	-0.030
18.400	-0.029
18.500	-0.029
18.600	-0.029
18.700	-0.029
18.800	-0.028
18.900	-0.028
19.000	-0.028
19.100	-0.027
19.200	-0.027
19.300	-0.027
19.400	-0.027
19.500	-0.026
19.600	-0.026
19.700	-0.026
19.800	-0.025
19.900	-0.025
20.000	-0.025
20.100	-0.024
20.200	-0.024
20.300	-0.024
20.400	-0.024
20.500	-0.023
20.600	-0.023
20.700	-0.023
20.800	-0.022
20.900	-0.022
21.000	-0.022
21.100	-0.022
21.200	-0.021
21.300	-0.021
21.400	-0.021
21.500	-0.020
21.600	-0.020
21.700	-0.020
21.800	-0.020
21.900	-0.019
22.000	-0.019
22.100	-0.019
22.200	-0.018
22.300	-0.018
22.400	-0.018
22.500	-0.018
22.600	-0.017
22.700	-0.017
22.800	-0.017
22.900	-0.016
23.000	-0.016
23.100	-0.016
23.200	-0.015
23.300	-0.015
23.400	-0.015
23.500	-0.015
23.600	-0.014
23.700	-0.014
23.800	-0.014
23.900	-0.013
24.000	-0.013
24.100	-0.013
24.200	-0.012
24.300	-0.012
24.400	-0.012
24.500	-0.011
24.600	-0.011
24.700	-0.010
24.800	-0.010
24.900	-0.009
