aoa	knots	lift
-0.3 	 178.602 	 100.972
-0.2 	 173.001 	 100.570
-0.1 	 167.901 	 100.247
-0.0 	 163.301 	 100.831
0.1 	 159.001 	 100.615
0.2 	 155.000 	 100.117
0.3 	 151.400 	 101.108
0.4 	 147.900 	 100.141
0.5 	 144.700 	 100.164
0.6 	 141.699 	 100.181
0.7 	 138.899 	 100.475
0.8 	 136.299 	 101.311
0.9 	 133.699 	 100.007
1.0 	 131.399 	 101.121
1.1 	 129.099 	 100.402
1.2 	 126.999 	 101.005
1.3 	 124.999 	 101.567
1.4 	 122.999 	 100.618
1.5 	 121.199 	 101.446
1.6 	 119.399 	 100.949
1.7 	 117.699 	 100.834
1.8 	 116.099 	 101.209
1.9 	 114.499 	 100.459
2.0 	 112.999 	 100.354
2.1 	 111.599 	 100.989
2.2 	 110.199 	 100.674
2.3 	 108.899 	 101.236
2.4 	 107.599 	 100.938
2.5 	 106.399 	 101.647
2.6 	 105.199 	 101.576
2.7 	 103.999 	 100.744
2.8 	 102.899 	 101.078
2.9 	 101.799 	 100.724
3.0 	 100.799 	 101.649
3.1 	 99.799 	 101.953
3.2 	 98.799 	 101.651
3.3 	 97.799 	 100.754
3.4 	 96.899 	 101.304
3.5 	 95.999 	 101.321
3.6 	 95.099 	 100.814
3.7 	 94.299 	 101.881
3.8 	 93.399 	 100.374
3.9 	 92.599 	 100.495
4.0 	 91.799 	 100.166
4.1 	 91.099 	 101.555
4.2 	 90.299 	 100.365
4.3 	 89.599 	 100.943
4.4 	 88.899 	 101.136
4.5 	 88.199 	 100.948
4.6 	 87.499 	 100.386
4.7 	 86.899 	 101.724
4.8 	 86.199 	 100.449
4.9 	 85.599 	 101.117
5.0 	 84.999 	 101.468
5.1 	 84.399 	 101.505
5.2 	 83.799 	 101.234
5.3 	 83.199 	 100.657
5.4 	 82.699 	 102.165
5.5 	 82.099 	 101.009
5.6 	 81.599 	 101.976
5.7 	 80.999 	 100.256
5.8 	 80.499 	 100.698
5.9 	 79.999 	 100.892
6.0 	 79.499 	 100.839
6.1 	 78.999 	 100.544
6.2 	 78.499 	 100.009
6.3 	 78.099 	 101.762
6.4 	 77.599 	 100.771
6.5 	 77.199 	 102.106
