aoa	knots	lift
-1.0 	 178.502 	 100.082
-0.9 	 169.201 	 100.214
-0.8 	 161.201 	 100.093
-0.7 	 154.300 	 100.772
-0.6 	 148.200 	 101.107
-0.5 	 142.700 	 100.405
-0.4 	 137.799 	 100.202
-0.3 	 133.399 	 100.412
-0.2 	 129.399 	 100.635
-0.1 	 125.699 	 100.202
-0.0 	 122.399 	 101.397
0.1 	 119.199 	 100.039
0.2 	 116.399 	 101.520
0.3 	 113.699 	 101.323
0.4 	 111.199 	 101.488
0.5 	 108.799 	 100.577
0.6 	 106.599 	 100.664
0.7 	 104.499 	 100.197
0.8 	 102.599 	 101.291
0.9 	 100.699 	 100.344
1.0 	 98.999 	 101.396
1.1 	 97.299 	 100.683
1.2 	 95.699 	 100.316
1.3 	 94.199 	 100.448
1.4 	 92.799 	 101.226
1.5 	 91.399 	 100.642
1.6 	 90.099 	 100.916
1.7 	 88.899 	 102.178
1.8 	 87.599 	 100.071
1.9 	 86.499 	 101.351
2.0 	 85.399 	 101.622
2.1 	 84.299 	 100.912
2.2 	 83.299 	 101.605
2.3 	 82.299 	 101.420
2.4 	 81.299 	 100.380
2.5 	 80.399 	 100.948
2.6 	 79.499 	 100.755
2.7 	 78.699 	 102.317
2.8 	 77.799 	 100.677
2.9 	 76.999 	 100.877
3.0 	 76.199 	 100.431
3.1 	 75.499 	 101.958
3.2 	 74.699 	 100.285
3.3 	 73.999 	 100.661
3.4 	 73.299 	 100.492
3.5 	 72.699 	 102.495
3.6 	 71.999 	 101.288
3.7 	 71.399 	 102.324
3.8 	 70.699 	 100.119
3.9 	 70.100 	 100.221
4.0 	 69.600 	 102.711
4.1 	 69.000 	 101.960
4.2 	 68.400 	 100.782
4.3 	 67.900 	 102.083
4.4 	 67.300 	 100.094
4.5 	 66.800 	 100.643
4.6 	 66.300 	 100.836
4.7 	 65.800 	 100.680
4.8 	 65.300 	 100.179
4.9 	 64.900 	 102.374
5.0 	 64.400 	 101.221
5.1 	 64.000 	 102.818
5.2 	 63.500 	 101.030
5.3 	 63.100 	 102.047
5.4 	 62.700 	 102.789
5.5 	 62.200 	 100.095
5.6 	 61.800 	 100.280
5.7 	 61.400 	 100.202
5.8 	 61.100 	 103.095
5.9 	 60.700 	 102.524
6.0 	 60.300 	 101.700
6.1 	 59.900 	 100.628
6.2 	 59.600 	 102.620
6.3 	 59.200 	 101.078
6.4 	 58.900 	 102.647
6.5 	 58.500 	 100.647
6.6 	 58.200 	 101.803
6.7 	 57.900 	 102.767
6.8 	 57.500 	 100.111
6.9 	 57.200 	 100.676
7.0 	 56.900 	 101.056
7.1 	 56.600 	 101.251
7.2 	 56.300 	 101.265
7.3 	 56.000 	 101.100
7.4 	 55.700 	 100.757
