aoa	lift	drag	lvsd
-5.0	-0.968	0.083	-11.636
-4.9	-0.939	0.082	-11.440
-4.8	-0.909	0.082	-11.052
-4.7	-0.879	0.083	-10.598
-4.6	-0.850	0.084	-10.150
-4.5	-0.820	0.084	-9.708
-4.4	-0.790	0.085	-9.271
-4.3	-0.760	0.086	-8.840
-4.2	-0.731	0.087	-8.415
-4.1	-0.701	0.088	-7.996
-4.0	-0.671	0.088	-7.583
-3.9	-0.641	0.089	-7.176
-3.8	-0.611	0.090	-6.776
-3.7	-0.582	0.091	-6.382
-3.6	-0.552	0.092	-5.995
-3.5	-0.522	0.093	-5.614
-3.4	-0.492	0.094	-5.239
-3.3	-0.462	0.095	-4.871
-3.2	-0.433	0.096	-4.510
-3.1	-0.403	0.097	-4.155
-3.0	-0.373	0.098	-3.807
-2.9	-0.343	0.099	-3.465
-2.8	-0.313	0.100	-3.130
-2.7	-0.283	0.101	-2.801
-2.6	-0.254	0.102	-2.479
-2.5	-0.224	0.103	-2.164
-2.4	-0.194	0.105	-1.855
-2.3	-0.164	0.106	-1.553
-2.2	-0.134	0.107	-1.256
-2.1	-0.105	0.108	-0.967
-2.0	-0.075	0.109	-0.683
-1.9	-0.045	0.111	-0.406
-1.8	-0.015	0.112	-0.135
-1.7	0.015	0.113	0.130
-1.6	0.044	0.115	0.389
-1.5	0.074	0.116	0.641
-1.4	0.104	0.117	0.888
-1.3	0.134	0.119	1.129
-1.2	0.164	0.120	1.364
-1.1	0.193	0.121	1.594
-1.0	0.223	0.123	1.818
-0.9	0.253	0.124	2.036
-0.8	0.283	0.126	2.249
-0.7	0.313	0.127	2.456
-0.6	0.342	0.129	2.658
-0.5	0.372	0.130	2.855
-0.4	0.402	0.132	3.047
-0.3	0.432	0.133	3.234
-0.2	0.461	0.135	3.415
-0.1	0.491	0.137	3.592
-0.0	0.521	0.138	3.764
0.1	0.550	0.140	3.931
0.2	0.580	0.142	4.094
0.3	0.610	0.143	4.252
0.4	0.640	0.145	4.406
0.5	0.669	0.147	4.555
0.6	0.699	0.149	4.701
0.7	0.729	0.150	4.841
0.8	0.758	0.152	4.978
0.9	0.788	0.154	5.111
1.0	0.817	0.156	5.240
1.1	0.847	0.158	5.365
1.2	0.877	0.160	5.486
1.3	0.906	0.162	5.603
1.4	0.936	0.164	5.717
1.5	0.965	0.166	5.828
1.6	0.995	0.168	5.935
1.7	1.024	0.170	6.038
1.8	1.054	0.172	6.138
1.9	1.083	0.174	6.235
2.0	1.113	0.176	6.329
2.1	1.142	0.178	6.420
2.2	1.172	0.180	6.508
2.3	1.201	0.182	6.592
2.4	1.231	0.184	6.674
2.5	1.260	0.187	6.753
2.6	1.290	0.189	6.830
2.7	1.319	0.191	6.904
2.8	1.348	0.193	6.975
2.9	1.378	0.196	7.043
3.0	1.407	0.198	7.109
3.1	1.436	0.200	7.173
3.2	1.466	0.203	7.235
3.3	1.495	0.205	7.294
3.4	1.524	0.207	7.350
3.5	1.553	0.210	7.405
3.6	1.583	0.212	7.458
3.7	1.612	0.215	7.508
3.8	1.641	0.217	7.556
3.9	1.670	0.220	7.603
4.0	1.699	0.222	7.647
4.1	1.728	0.225	7.690
4.2	1.757	0.227	7.731
4.3	1.786	0.230	7.770
4.4	1.815	0.233	7.807
4.5	1.844	0.235	7.843
4.6	1.873	0.238	7.877
4.7	1.902	0.241	7.909
4.8	1.931	0.243	7.940
4.9	1.960	0.246	7.970
5.0	1.989	0.249	7.998
5.1	2.018	0.251	8.024
5.2	2.047	0.254	8.049
5.3	2.076	0.257	8.073
5.4	2.104	0.260	8.095
5.5	2.133	0.263	8.117
5.6	2.162	0.266	8.136
5.7	2.191	0.269	8.155
5.8	2.219	0.272	8.173
5.9	2.248	0.275	8.189
6.0	2.277	0.277	8.204
6.1	2.305	0.280	8.218
6.2	2.334	0.284	8.232
6.3	2.362	0.287	8.244
6.4	2.391	0.290	8.255
6.5	2.419	0.293	8.265
6.6	2.448	0.296	8.274
6.7	2.476	0.299	8.282
6.8	2.505	0.302	8.290
6.9	2.533	0.305	8.296
7.0	2.561	0.309	8.302
7.1	2.590	0.312	8.307
