aoa	lift	drag
-1.0	0.44	0.09
-0.9	0.48	0.10
-0.8	0.52	0.10
-0.7	0.56	0.11
-0.6	0.59	0.11
-0.5	0.63	0.12
-0.4	0.67	0.12
-0.3	0.71	0.13
-0.2	0.75	0.13
-0.1	0.79	0.14
0.0	0.82	0.14
0.1	0.86	0.15
0.2	0.90	0.15
0.3	0.94	0.15
0.4	0.98	0.16
0.5	1.01	0.16
0.6	1.05	0.16
0.7	1.09	0.17
0.8	1.13	0.17
0.9	1.17	0.17
1.0	1.20	0.18
1.1	1.24	0.18
1.2	1.28	0.18
1.3	1.32	0.19
1.4	1.36	0.19
1.5	1.39	0.19
1.6	1.43	0.20
1.7	1.47	0.20
1.8	1.51	0.20
1.9	1.55	0.21
2.0	1.58	0.21
2.1	1.62	0.21
2.2	1.66	0.21
2.3	1.70	0.22
2.4	1.74	0.22
2.5	1.77	0.22
2.6	1.81	0.23
2.7	1.85	0.23
2.8	1.89	0.23
2.9	1.92	0.24
3.0	1.96	0.24
3.1	2.00	0.24
3.2	2.04	0.24
3.3	2.07	0.25
3.4	2.11	0.25
3.5	2.15	0.26
3.6	2.19	0.26
3.7	2.22	0.26
3.8	2.26	0.27
3.9	2.30	0.27
4.0	2.34	0.27
4.1	2.37	0.28
4.2	2.41	0.28
4.3	2.45	0.29
4.4	2.49	0.29
4.5	2.52	0.29
4.6	2.56	0.30
4.7	2.60	0.30
4.8	2.64	0.31
4.9	2.67	0.31
5.0	2.71	0.31
5.1	2.75	0.32
5.2	2.78	0.32
5.3	2.82	0.33
5.4	2.86	0.33
5.5	2.90	0.34
5.6	2.93	0.34
5.7	2.97	0.34
5.8	3.01	0.35
5.9	3.04	0.35
6.0	3.08	0.36
6.1	3.12	0.36
6.2	3.15	0.37
6.3	3.19	0.37
6.4	3.23	0.37
6.5	3.26	0.38
6.6	3.30	0.38
6.7	3.34	0.39
6.8	3.37	0.39
6.9	3.41	0.40
7.0	3.45	0.40
7.1	3.48	0.41
7.2	3.52	0.41
7.3	3.56	0.42
7.4	3.59	0.42
7.5	3.63	0.43
7.6	3.66	0.43
7.7	3.70	0.44
7.8	3.74	0.44
7.9	3.77	0.45
8.0	3.81	0.45
8.1	3.85	0.46
8.2	3.88	0.46
8.3	3.92	0.47
8.4	3.95	0.47
8.5	3.99	0.48
8.6	4.03	0.48
8.7	4.06	0.49
8.8	4.10	0.49
8.9	4.13	0.50
9.0	4.17	0.50
9.1	4.20	0.51
9.2	4.24	0.51
9.3	4.27	0.52
9.4	4.31	0.52
9.5	4.35	0.53
9.6	4.38	0.54
9.7	4.42	0.54
9.8	4.45	0.55
9.9	4.49	0.55
10.0	4.52	0.56
10.1	4.56	0.56
10.2	4.59	0.57
10.3	4.63	0.57
10.4	4.66	0.58
10.5	4.70	0.59
10.6	4.73	0.59
10.7	4.77	0.60
10.8	4.80	0.60
10.9	4.84	0.61
11.0	4.87	0.62
11.1	4.90	0.62
11.2	4.94	0.63
11.3	4.97	0.63
11.4	5.01	0.64
11.5	5.04	0.65
11.6	5.08	0.65
11.7	5.11	0.66
11.8	5.14	0.66
11.9	5.18	0.67
12.0	5.21	0.68
12.1	5.25	0.68
12.2	5.28	0.69
12.3	5.31	0.70
12.4	5.35	0.70
12.5	5.38	0.71
12.6	5.41	0.72
12.7	5.45	0.72
12.8	5.48	0.73
12.9	5.51	0.74
13.0	5.54	0.74
13.1	5.57	0.75
13.2	5.60	0.75
13.3	5.62	0.76
13.4	5.64	0.76
13.5	5.65	0.77
13.6	5.67	0.77
13.7	5.68	0.77
13.8	5.68	0.78
13.9	5.69	0.78
14.0	5.69	0.78
14.1	5.69	0.78
14.2	5.69	0.79
14.3	5.68	0.79
14.4	5.67	0.79
14.5	5.66	0.79
14.6	5.65	0.79
14.7	5.64	0.79
14.8	5.62	0.79
14.9	5.60	0.79
15.0	5.58	0.79
15.1	5.55	0.78
15.2	5.53	0.78
15.3	5.50	0.78
15.4	5.47	0.78
15.5	5.44	0.78
15.6	5.40	0.77
15.7	5.37	0.77
15.8	5.33	0.77
15.9	5.29	0.76
16.0	5.25	0.76
16.1	5.20	0.75
16.2	5.16	0.75
16.3	5.10	0.74
16.4	5.05	0.73
16.5	4.99	0.73
16.6	4.94	0.72
16.7	4.87	0.71
16.8	4.81	0.70
16.9	4.75	0.70
17.0	4.68	0.69
17.1	4.61	0.68
17.2	4.55	0.67
17.3	4.48	0.66
17.4	4.41	0.65
17.5	4.34	0.64
17.6	4.26	0.63
17.7	4.19	0.62
17.8	4.12	0.61
17.9	4.05	0.61
18.0	3.98	0.60
18.1	3.90	0.59
18.2	3.83	0.58
18.3	3.76	0.57
18.4	3.69	0.56
18.5	3.62	0.55
18.6	3.56	0.54
18.7	3.49	0.53
18.8	3.43	0.52
18.9	3.37	0.51
19.0	3.31	0.50
19.1	3.25	0.50
19.2	3.20	0.49
19.3	3.15	0.48
19.4	3.10	0.47
19.5	3.06	0.47
19.6	3.02	0.46
19.7	2.98	0.46
19.8	2.95	0.45
19.9	2.93	0.45
20.0	2.90	0.45
20.1	2.89	0.45
20.2	2.88	0.45
20.3	2.87	0.45
20.4	2.86	0.44
20.5	2.85	0.44
20.6	2.85	0.44
20.7	2.85	0.45
20.8	2.85	0.45
20.9	2.85	0.45
21.0	2.86	0.45
21.1	2.87	0.45
21.2	2.88	0.46
21.3	2.89	0.46
21.4	2.90	0.46
21.5	2.92	0.46
21.6	2.93	0.47
21.7	2.94	0.47
21.8	2.95	0.47
21.9	2.97	0.48
22.0	2.98	0.48
22.1	2.99	0.48
22.2	3.00	0.49
22.3	3.01	0.49
22.4	3.02	0.49
22.5	3.03	0.50
22.6	3.04	0.50
22.7	3.05	0.50
22.8	3.06	0.50
22.9	3.07	0.51
23.0	3.08	0.51
23.1	3.09	0.51
23.2	3.10	0.52
23.3	3.11	0.52
23.4	3.12	0.52
23.5	3.13	0.53
23.6	3.14	0.53
23.7	3.15	0.53
23.8	3.16	0.53
23.9	3.16	0.54
24.0	3.17	0.54
24.1	3.18	0.54
24.2	3.19	0.55
24.3	3.20	0.55
24.4	3.21	0.55
24.5	3.22	0.56
24.6	3.23	0.56
24.7	3.24	0.56
24.8	3.24	0.56
24.9	3.25	0.57
