aoa	knots	lift
-1.0 	 177.502 	 101.049
-0.9 	 170.801 	 101.094
-0.8 	 164.801 	 101.059
-0.7 	 159.401 	 101.135
-0.6 	 154.500 	 101.217
-0.5 	 150.000 	 100.945
-0.4 	 145.900 	 101.077
-0.3 	 142.099 	 100.929
-0.2 	 138.599 	 101.038
-0.1 	 135.299 	 100.455
-0.0 	 132.299 	 101.029
0.1 	 129.399 	 100.164
0.2 	 126.799 	 101.180
0.3 	 124.299 	 101.311
0.4 	 121.899 	 100.743
0.5 	 119.699 	 101.292
0.6 	 117.599 	 101.545
0.7 	 115.599 	 101.656
0.8 	 113.599 	 100.048
0.9 	 111.799 	 100.284
1.0 	 110.099 	 100.801
1.1 	 108.499 	 101.726
1.2 	 106.899 	 101.344
1.3 	 105.399 	 101.557
1.4 	 103.899 	 100.588
1.5 	 102.499 	 100.385
1.6 	 101.199 	 101.054
1.7 	 99.899 	 100.732
1.8 	 98.699 	 101.435
1.9 	 97.499 	 101.244
2.0 	 96.299 	 100.181
2.1 	 95.199 	 100.329
2.2 	 94.199 	 101.777
2.3 	 93.099 	 100.395
2.4 	 92.099 	 100.394
2.5 	 91.199 	 101.858
2.6 	 90.199 	 100.515
2.7 	 89.299 	 100.709
2.8 	 88.399 	 100.298
2.9 	 87.599 	 101.539
3.0 	 86.799 	 102.241
3.1 	 85.899 	 100.130
3.2 	 85.199 	 102.072
3.3 	 84.399 	 101.221
3.4 	 83.699 	 102.220
3.5 	 82.899 	 100.400
3.6 	 82.199 	 100.487
3.7 	 81.499 	 100.142
3.8 	 80.899 	 101.799
3.9 	 80.199 	 100.627
4.0 	 79.599 	 101.512
4.1 	 78.999 	 102.030
4.2 	 78.399 	 102.187
4.3 	 77.799 	 101.988
4.4 	 77.199 	 101.438
4.5 	 76.599 	 100.544
4.6 	 76.099 	 101.894
4.7 	 75.499 	 100.344
4.8 	 74.999 	 101.085
4.9 	 74.499 	 101.536
5.0 	 73.999 	 101.703
5.1 	 73.499 	 101.589
5.2 	 72.999 	 101.198
5.3 	 72.499 	 100.533
5.4 	 72.099 	 102.328
5.5 	 71.599 	 101.145
5.6 	 71.199 	 102.462
5.7 	 70.699 	 100.774
5.8 	 70.299 	 101.627
5.9 	 69.900 	 102.262
6.0 	 69.500 	 102.680
6.1 	 69.000 	 100.035
6.2 	 68.600 	 100.011
6.3 	 68.300 	 102.660
6.4 	 67.900 	 102.238
