aoa	lift	drag	lvsd
-5.0	-1.083	0.077	-14.146
-4.9	-1.044	0.079	-13.207
-4.8	-1.006	0.082	-12.344
-4.7	-0.968	0.085	-11.394
-4.6	-0.930	0.089	-10.425
-4.5	-0.892	0.093	-9.580
-4.4	-0.853	0.097	-8.830
-4.3	-0.815	0.100	-8.155
-4.2	-0.777	0.103	-7.540
-4.1	-0.739	0.106	-6.975
-4.0	-0.701	0.109	-6.449
-3.9	-0.663	0.111	-5.958
-3.8	-0.625	0.114	-5.496
-3.7	-0.586	0.116	-5.058
-3.6	-0.548	0.118	-4.641
-3.5	-0.510	0.120	-4.242
-3.4	-0.472	0.122	-3.860
-3.3	-0.434	0.124	-3.493
-3.2	-0.396	0.126	-3.138
-3.1	-0.358	0.128	-2.795
-3.0	-0.320	0.130	-2.462
-2.9	-0.282	0.132	-2.140
-2.8	-0.243	0.133	-1.826
-2.7	-0.205	0.135	-1.521
-2.6	-0.167	0.137	-1.223
-2.5	-0.129	0.138	-0.933
-2.4	-0.091	0.140	-0.650
-2.3	-0.053	0.142	-0.373
-2.2	-0.015	0.143	-0.103
-2.1	0.023	0.145	0.162
-2.0	0.062	0.146	0.420
-1.9	0.100	0.148	0.674
-1.8	0.138	0.149	0.922
-1.7	0.176	0.151	1.166
-1.6	0.214	0.152	1.404
-1.5	0.252	0.154	1.638
-1.4	0.290	0.155	1.867
-1.3	0.328	0.157	2.091
-1.2	0.366	0.159	2.311
-1.1	0.405	0.160	2.527
-1.0	0.443	0.162	2.738
-0.9	0.481	0.163	2.945
-0.8	0.519	0.165	3.147
-0.7	0.557	0.166	3.345
-0.6	0.595	0.168	3.539
-0.5	0.633	0.170	3.729
-0.4	0.671	0.171	3.914
-0.3	0.709	0.173	4.096
-0.2	0.747	0.175	4.273
-0.1	0.786	0.177	4.446
-0.0	0.824	0.178	4.615
0.1	0.862	0.180	4.780
0.2	0.900	0.182	4.940
0.3	0.938	0.184	5.097
0.4	0.976	0.186	5.250
0.5	1.014	0.188	5.399
0.6	1.052	0.190	5.544
0.7	1.090	0.192	5.685
0.8	1.128	0.194	5.823
0.9	1.166	0.196	5.956
1.0	1.204	0.198	6.086
1.1	1.242	0.200	6.213
1.2	1.280	0.202	6.335
1.3	1.318	0.204	6.454
1.4	1.356	0.206	6.570
1.5	1.394	0.209	6.682
1.6	1.432	0.211	6.790
1.7	1.470	0.213	6.896
1.8	1.508	0.215	6.998
1.9	1.545	0.218	7.096
2.0	1.583	0.220	7.192
2.1	1.621	0.223	7.284
2.2	1.659	0.225	7.373
2.3	1.697	0.227	7.459
2.4	1.735	0.230	7.542
2.5	1.772	0.233	7.623
2.6	1.810	0.235	7.700
2.7	1.848	0.238	7.774
2.8	1.886	0.240	7.846
2.9	1.923	0.243	7.915
3.0	1.961	0.246	7.981
3.1	1.999	0.248	8.045
3.2	2.037	0.252	8.087
3.3	2.074	0.255	8.127
3.4	2.112	0.259	8.166
3.5	2.149	0.262	8.201
3.6	2.187	0.266	8.235
3.7	2.224	0.269	8.267
3.8	2.262	0.273	8.297
3.9	2.299	0.276	8.325
4.0	2.337	0.280	8.351
4.1	2.374	0.283	8.376
4.2	2.412	0.287	8.399
4.3	2.449	0.291	8.420
4.4	2.486	0.295	8.440
4.5	2.524	0.298	8.458
4.6	2.561	0.302	8.474
4.7	2.598	0.306	8.489
