aoa	knots	lift
-0.80 	 174.60 	 100.23
-0.70 	 168.90 	 100.55
-0.60 	 163.70 	 100.54
-0.50 	 159.00 	 101.10
-0.40 	 154.60 	 100.55
-0.30 	 150.60 	 100.75
-0.20 	 146.90 	 100.99
-0.10 	 143.40 	 100.38
0.00 	 140.20 	 100.66
0.10 	 137.20 	 100.85
0.20 	 134.40 	 101.23
0.30 	 131.70 	 100.62
0.40 	 129.20 	 100.70
0.50 	 126.80 	 100.19
0.60 	 124.60 	 100.83
0.70 	 122.50 	 101.25
0.80 	 120.50 	 101.59
0.90 	 118.50 	 100.33
1.00 	 116.70 	 100.88
1.10 	 114.90 	 100.03
1.20 	 113.30 	 101.28
1.30 	 111.70 	 101.32
1.40 	 110.10 	 100.17
1.50 	 108.70 	 101.47
1.60 	 107.30 	 101.75
1.70 	 105.90 	 101.03
1.80 	 104.60 	 101.21
1.90 	 103.30 	 100.48
2.00 	 102.10 	 100.80
2.10 	 100.90 	 100.29
2.20 	 99.80 	 100.95
2.30 	 98.70 	 100.87
2.40 	 97.60 	 100.07
2.50 	 96.60 	 100.60
2.60 	 95.60 	 100.47
2.70 	 94.70 	 101.78
2.80 	 93.70 	 100.42
2.90 	 92.80 	 100.56
3.00 	 91.90 	 100.14
3.10 	 91.10 	 101.33
3.20 	 90.30 	 102.02
3.30 	 89.40 	 100.03
3.40 	 88.70 	 101.95
3.50 	 87.90 	 101.20
3.60 	 87.20 	 102.24
3.70 	 86.40 	 100.59
3.80 	 85.70 	 100.78
3.90 	 85.00 	 100.57
4.00 	 84.40 	 102.30
4.10 	 83.70 	 101.32
4.20 	 83.10 	 102.32
4.30 	 82.40 	 100.60
4.40 	 81.80 	 100.90
4.50 	 81.20 	 100.87
4.60 	 80.60 	 100.52
4.70 	 80.10 	 102.30
4.80 	 79.50 	 101.32
4.90 	 78.90 	 100.03
5.00 	 78.40 	 100.94
5.10 	 77.90 	 101.58
5.20 	 77.40 	 101.95
5.30 	 76.90 	 102.06
5.40 	 76.40 	 101.91
5.50 	 75.90 	 101.50
5.60 	 75.40 	 100.84
5.70 	 75.00 	 102.55
5.80 	 74.50 	 101.41
5.90 	 74.00 	 100.02
6.00 	 73.60 	 101.07
6.10 	 73.20 	 101.91
6.20 	 72.80 	 102.54
6.30 	 72.30 	 100.26
6.40 	 71.90 	 100.48
6.50 	 71.50 	 100.50
6.60 	 71.10 	 100.33
6.70 	 70.80 	 102.75
6.80 	 70.40 	 102.22
6.90 	 70.00 	 101.49
7.00 	 69.60 	 100.58
7.10 	 69.30 	 102.33
7.20 	 68.90 	 101.07
7.30 	 68.60 	 102.50
7.40 	 68.20 	 100.90
7.50 	 67.90 	 102.02
7.60 	 67.50 	 100.08
7.70 	 67.20 	 100.90
7.80 	 66.90 	 101.57
7.90 	 66.60 	 102.11
8.00 	 66.30 	 102.50
8.10 	 66.00 	 102.76
8.20 	 65.70 	 102.88
8.30 	 65.40 	 102.86
8.40 	 65.10 	 102.71
8.50 	 64.80 	 102.43
8.60 	 64.50 	 102.01
8.70 	 64.20 	 101.47
8.80 	 63.90 	 100.79
8.90 	 63.70 	 103.08
9.00 	 63.40 	 102.17
9.10 	 63.10 	 101.13
9.20 	 62.90 	 103.10
9.30 	 62.60 	 101.82
9.40 	 62.30 	 100.42
9.50 	 62.10 	 102.08
9.60 	 61.80 	 100.45
