aoa	lift	drag
-15	-3.0690	0.3543
-14	-3.0222	0.3086
-13	-2.7971	0.2729
-12	-2.4739	0.2215
-11	-2.1363	0.2234
-10	-1.7961	0.2284
-9	-1.4538	0.2368
-8	-1.1097	0.2483
-7	-0.7643	0.2632
-6	-0.4179	0.2813
-5	-0.0710	0.3027
-4	0.2761	0.3272
-3	0.6228	0.3550
-2	0.9688	0.3860
-1	1.3137	0.4200
 0	1.6571	0.4572
 1	1.9985	0.4974
 2	2.3376	0.5407
 3	2.6740	0.5868
 4	3.0071	0.6359
 5	3.3366	0.6898
 6	3.6613	0.7527
 7	3.9815	0.8182
 8	4.2966	0.8864
 9	4.6064	0.9570
10	4.9104	1.0301
11	5.2084	1.1055
12	5.4968	1.1826
13	5.5979	1.2225
14	5.4000	1.1951
15	4.9751	1.1123
16	4.4135	0.9918
17	3.8169	0.8566
18	3.2453	0.7278
19	2.8469	0.6425
20	2.6863	0.6196
21	2.6018	0.6221
22	2.5471	0.6313
23	2.5448	0.6487
24	2.6362	0.6824
25	2.7388	0.7193
26	2.8210	0.7537
27	2.8865	0.7859
28	2.9478	0.8183
29	3.0053	0.8509
30	3.0587	0.8836
31	3.1080	0.9163
32	3.1533	0.9492
33	3.1944	0.9821
34	3.2313	1.0149
35	3.2639	1.0478
36	3.2923	1.0805
37	3.3164	1.1132
38	3.3361	1.1457
39	3.3514	1.1781
40	3.3624	1.2102
41	3.3690	1.2421
42	3.3711	1.2738
43	3.3689	1.3052
44	3.3622	1.3362
45	3.3512	1.3669
46	3.3358	1.3972
47	3.3160	1.4270
48	3.2919	1.4564
49	3.2634	1.4854
50	3.2307	1.5138
51	3.1937	1.5416
52	3.1525	1.5689
53	3.1072	1.5956
54	3.0577	1.6217
55	3.0042	1.6471
56	2.9467	1.6719
57	2.8853	1.6959
58	2.8201	1.7192
59	2.7510	1.7418
60	2.6783	1.7635
61	2.6019	1.7845
62	2.5221	1.8046
63	2.4387	1.8238
64	2.3521	1.8422
65	2.2622	1.8597
66	2.1692	1.8763
67	2.0731	1.8919
68	1.9741	1.9065
69	1.8724	1.9202
70	1.7679	1.9329
71	1.6609	1.9446
72	1.5515	1.9552
73	1.4397	1.9648
74	1.3258	1.9733
75	1.2098	1.9808
76	1.0920	1.9872
77	0.9724	1.9925
78	0.8511	1.9966
79	0.7284	1.9997
80	0.6043	2.0016
81	0.4791	2.0025
82	0.3528	2.0021
83	0.2257	2.0007
84	0.0978	1.9981
85	-0.0306	1.9943
86	-0.1595	1.9894
87	-0.2886	1.9834
88	-0.4179	1.9762
89	-0.5471	1.9678
90	0.5620	1.9614
# cl_max 5.5979 at 13 deg
# cd_min 0.2215 at -12 deg
# ld_max 4.8659 at 7 deg
