knots	drag
0.000	-0.123
0.100	-0.116
0.200	-0.110
0.300	-0.104
0.400	-0.098
0.500	-0.092
0.600	-0.087
0.700	-0.082
0.800	-0.077
0.900	-0.072
1.000	-0.068
1.100	-0.064
1.200	-0.060
1.300	-0.056
1.400	-0.052
1.500	-0.049
1.600	-0.045
1.700	-0.042
1.800	-0.039
1.900	-0.036
2.000	-0.033
2.100	-0.030
2.200	-0.027
2.300	-0.025
2.400	-0.022
2.500	-0.020
2.600	-0.017
2.700	-0.015
2.800	-0.013
2.900	-0.011
3.000	-0.009
3.100	-0.007
3.200	-0.005
3.300	-0.003
3.400	-0.001
3.500	0.001
3.600	0.002
3.700	0.004
3.800	0.005
3.900	0.007
4.000	0.008
4.100	0.009
4.200	0.011
4.300	0.012
4.400	0.013
4.500	0.014
4.600	0.015
4.700	0.016
4.800	0.017
4.900	0.018
5.000	0.019
5.100	0.020
5.200	0.020
5.300	0.021
5.400	0.022
5.500	0.023
5.600	0.023
5.700	0.024
5.800	0.025
5.900	0.025
6.000	0.026
6.100	0.026
6.200	0.027
6.300	0.027
6.400	0.028
6.500	0.028
6.600	0.029
6.700	0.029
6.800	0.030
6.900	0.030
7.000	0.031
7.100	0.031
7.200	0.032
7.300	0.032
7.400	0.032
7.500	0.033
7.600	0.033
7.700	0.033
7.800	0.034
7.900	0.034
8.000	0.034
8.100	0.035
8.200	0.035
8.300	0.035
8.400	0.036
8.500	0.036
8.600	0.036
8.700	0.036
8.800	0.037
8.900	0.037
9.000	0.037
9.100	0.037
9.200	0.038
9.300	0.038
9.400	0.038
9.500	0.038
9.600	0.039
9.700	0.039
9.800	0.039
9.900	0.039
10.000	0.039
10.100	0.040
10.200	0.040
10.300	0.040
10.400	0.040
10.500	0.040
10.600	0.041
10.700	0.041
10.800	0.041
10.900	0.041
11.000	0.041
11.100	0.041
11.200	0.042
11.300	0.042
11.400	0.042
11.500	0.042
11.600	0.042
11.700	0.042
11.800	0.042
11.900	0.043
12.000	0.043
12.100	0.043
12.200	0.043
12.300	0.043
12.400	0.043
12.500	0.043
12.600	0.044
12.700	0.044
12.800	0.044
12.900	0.044
13.000	0.044
13.100	0.044
13.200	0.044
13.300	0.045
13.400	0.045
13.500	0.045
13.600	0.045
13.700	0.045
13.800	0.045
13.900	0.045
14.000	0.045
14.100	0.045
14.200	0.046
14.300	0.046
14.400	0.046
14.500	0.046
14.600	0.046
14.700	0.046
14.800	0.046
14.900	0.046
15.000	0.046
15.100	0.047
15.200	0.047
15.300	0.047
15.400	0.047
15.500	0.047
15.600	0.047
15.700	0.047
15.800	0.047
15.900	0.047
16.000	0.048
16.100	0.048
16.200	0.048
16.300	0.048
16.400	0.048
16.500	0.048
16.600	0.048
16.700	0.048
16.800	0.048
16.900	0.048
17.000	0.049
17.100	0.049
17.200	0.049
17.300	0.049
17.400	0.049
17.500	0.049
17.600	0.049
17.700	0.049
17.800	0.049
17.900	0.049
18.000	0.050
18.100	0.050
18.200	0.050
18.300	0.050
18.400	0.050
18.500	0.050
18.600	0.050
18.700	0.050
18.800	0.050
18.900	0.050
19.000	0.051
19.100	0.051
19.200	0.051
19.300	0.051
19.400	0.051
19.500	0.051
19.600	0.051
19.700	0.051
19.800	0.051
19.900	0.051
20.000	0.052
20.100	0.052
20.200	0.052
20.300	0.052
20.400	0.052
20.500	0.052
20.600	0.052
20.700	0.052
20.800	0.052
20.900	0.052
21.000	0.053
21.100	0.053
21.200	0.053
21.300	0.053
21.400	0.053
21.500	0.053
21.600	0.053
21.700	0.053
21.800	0.053
21.900	0.053
22.000	0.054
22.100	0.054
22.200	0.054
22.300	0.054
22.400	0.054
22.500	0.054
22.600	0.054
22.700	0.054
22.800	0.054
22.900	0.054
23.000	0.055
23.100	0.055
23.200	0.055
23.300	0.055
23.400	0.055
23.500	0.055
23.600	0.055
23.700	0.055
23.800	0.055
23.900	0.056
24.000	0.056
24.100	0.056
24.200	0.056
24.300	0.056
24.400	0.056
24.500	0.056
24.600	0.056
24.700	0.056
24.800	0.056
24.900	0.057
25.000	0.057
25.100	0.057
25.200	0.057
25.300	0.057
25.400	0.057
25.500	0.057
25.600	0.057
25.700	0.057
25.800	0.058
25.900	0.058
26.000	0.058
26.100	0.058
26.200	0.058
26.300	0.058
26.400	0.058
26.500	0.058
26.600	0.058
26.700	0.059
26.800	0.059
26.900	0.059
27.000	0.059
27.100	0.059
27.200	0.059
27.300	0.059
27.400	0.059
27.500	0.060
27.600	0.060
27.700	0.060
27.800	0.060
27.900	0.060
28.000	0.060
28.100	0.060
28.200	0.060
28.300	0.060
28.400	0.061
28.500	0.061
28.600	0.061
28.700	0.061
28.800	0.061
28.900	0.061
29.000	0.061
29.100	0.061
