aoa	knots	lift
-1.9 	 175.101 	 100.314
-1.8 	 169.001 	 100.618
-1.7 	 163.501 	 100.917
-1.6 	 158.500 	 101.114
-1.5 	 153.900 	 100.865
-1.4 	 149.700 	 100.911
-1.3 	 145.800 	 100.587
-1.2 	 142.199 	 100.425
-1.1 	 138.899 	 100.912
-1.0 	 135.799 	 101.062
-0.9 	 132.899 	 101.205
-0.8 	 130.099 	 100.146
-0.7 	 127.599 	 101.160
-0.6 	 125.199 	 101.482
-0.5 	 122.899 	 101.281
-0.4 	 120.699 	 100.719
-0.3 	 118.699 	 101.605
-0.2 	 116.699 	 100.804
-0.1 	 114.799 	 100.080
-0.0 	 113.099 	 101.299
0.1 	 111.399 	 101.144
0.2 	 109.799 	 101.442
0.3 	 108.199 	 100.497
0.4 	 106.699 	 100.181
0.5 	 105.299 	 100.602
0.6 	 103.999 	 101.864
0.7 	 102.599 	 100.241
0.8 	 101.399 	 101.496
0.9 	 100.199 	 101.875
1.0 	 98.999 	 101.398
1.1 	 97.799 	 100.088
1.2 	 96.799 	 102.018
1.3 	 95.699 	 101.190
1.4 	 94.699 	 101.699
1.5 	 93.699 	 101.532
1.6 	 92.699 	 100.703
1.7 	 91.799 	 101.364
1.8 	 90.899 	 101.433
1.9 	 89.999 	 100.920
2.0 	 89.199 	 102.040
2.1 	 88.299 	 100.419
2.2 	 87.499 	 100.493
2.3 	 86.699 	 100.069
2.4 	 85.999 	 101.439
2.5 	 85.199 	 100.066
2.6 	 84.499 	 100.543
2.7 	 83.799 	 100.595
2.8 	 83.099 	 100.229
2.9 	 82.499 	 101.833
3.0 	 81.799 	 100.671
3.1 	 81.199 	 101.529
3.2 	 80.599 	 102.034
3.3 	 79.999 	 102.189
3.4 	 79.399 	 102.001
3.5 	 78.799 	 101.476
3.6 	 78.199 	 100.617
3.7 	 77.699 	 101.959
3.8 	 77.099 	 100.467
3.9 	 76.599 	 101.219
4.0 	 76.099 	 101.693
4.1 	 75.599 	 101.891
4.2 	 75.099 	 101.817
4.3 	 74.599 	 101.475
4.4 	 74.099 	 100.869
4.5 	 73.599 	 100.003
4.6 	 73.199 	 101.562
4.7 	 72.699 	 100.201
4.8 	 72.299 	 101.305
4.9 	 71.899 	 102.194
5.0 	 71.399 	 100.122
5.1 	 70.999 	 100.573
5.2 	 70.599 	 100.817
5.3 	 70.200 	 100.857
5.4 	 69.800 	 100.694
5.5 	 69.400 	 100.332
5.6 	 69.100 	 102.618
5.7 	 68.700 	 101.879
5.8 	 68.300 	 100.948
5.9 	 68.000 	 102.717
6.0 	 67.600 	 101.421
6.1 	 67.300 	 102.861
6.2 	 66.900 	 101.209
6.3 	 66.600 	 102.326
6.4 	 66.200 	 100.326
6.5 	 65.900 	 101.128
6.6 	 65.600 	 101.782
6.7 	 65.300 	 102.290
6.8 	 65.000 	 102.654
6.9 	 64.700 	 102.875
7.0 	 64.400 	 102.953
7.1 	 64.100 	 102.892
7.2 	 63.800 	 102.691
7.3 	 63.500 	 102.353
7.4 	 63.200 	 101.879
7.5 	 62.900 	 101.271
7.6 	 62.600 	 100.529
7.7 	 62.400 	 102.806
7.8 	 62.100 	 101.814
7.9 	 61.800 	 100.693
8.0 	 61.600 	 102.636
8.1 	 61.300 	 101.271
8.2 	 61.100 	 103.001
8.3 	 60.800 	 101.398
8.4 	 60.600 	 102.918
8.5 	 60.300 	 101.081
8.6 	 60.100 	 102.395
8.7 	 59.800 	 100.329
8.8 	 59.600 	 101.441
8.9 	 59.400 	 102.459
9.0 	 59.100 	 100.062
9.1 	 58.900 	 100.884
9.2 	 58.700 	 101.614
9.3 	 58.500 	 102.256
9.4 	 58.300 	 102.808
9.5 	 58.100 	 103.272
9.6 	 57.800 	 100.248
9.7 	 57.600 	 100.524
9.8 	 57.400 	 100.713
9.9 	 57.200 	 100.818
10.0 	 57.000 	 100.837
10.1 	 56.800 	 100.773
10.2 	 56.600 	 100.535
10.3 	 56.500 	 103.126
10.4 	 56.300 	 101.530
10.5 	 56.200 	 102.741
10.6 	 56.100 	 103.287
10.7 	 56.000 	 103.180
10.8 	 55.900 	 102.433
10.9 	 55.800 	 101.059
11.0 	 55.800 	 102.598
11.1 	 55.700 	 100.011
11.2 	 55.700 	 100.327
11.3 	 55.800 	 103.512
11.4 	 55.800 	 102.515
11.5 	 55.800 	 100.875
11.6 	 55.900 	 102.123
11.7 	 56.000 	 102.738
11.8 	 56.100 	 102.727
11.9 	 56.200 	 102.096
12.0 	 56.300 	 100.854
12.1 	 56.500 	 102.493
12.2 	 56.600 	 100.043
12.3 	 56.800 	 100.467
12.4 	 57.000 	 100.288
12.5 	 57.300 	 102.950
12.6 	 57.500 	 101.574
12.7 	 57.800 	 103.025
12.8 	 58.000 	 100.482
12.9 	 58.300 	 100.751
13.0 	 58.600 	 100.436
13.1 	 59.000 	 102.881
13.2 	 59.300 	 101.407
13.3 	 59.700 	 102.679
13.4 	 60.000 	 100.094
13.5 	 60.400 	 100.242
13.6 	 60.900 	 103.074
13.7 	 61.300 	 102.117
13.8 	 61.700 	 100.648
13.9 	 62.200 	 101.852
14.0 	 62.700 	 102.542
14.1 	 63.200 	 102.743
14.2 	 63.700 	 102.483
14.3 	 64.200 	 101.795
14.4 	 64.700 	 100.715
14.5 	 65.300 	 102.296
14.6 	 65.800 	 100.526
14.7 	 66.400 	 101.456
14.8 	 67.000 	 102.122
14.9 	 67.600 	 102.581
15.0 	 68.100 	 100.009
15.1 	 68.700 	 100.268
15.2 	 69.300 	 100.521
15.3 	 69.900 	 100.846
15.4 	 70.499 	 101.327
15.5 	 71.099 	 102.055
15.6 	 71.599 	 100.379
15.7 	 72.199 	 101.916
15.8 	 72.699 	 101.300
15.9 	 73.199 	 101.392
16.0 	 73.699 	 102.308
16.1 	 74.099 	 101.515
16.2 	 74.499 	 101.823
16.3 	 74.799 	 100.732
16.4 	 75.099 	 101.019
16.5 	 75.299 	 100.201
16.6 	 75.499 	 101.026
16.7 	 75.599 	 101.015
16.8 	 75.599 	 100.079
16.9 	 75.699 	 102.042
17.0 	 75.699 	 101.438
17.1 	 75.699 	 100.874
17.2 	 75.699 	 100.357
17.3 	 75.799 	 102.494
17.4 	 75.799 	 102.095
17.5 	 75.799 	 101.767
17.6 	 75.799 	 101.518
17.7 	 75.799 	 101.356
17.8 	 75.799 	 101.289
17.9 	 75.799 	 101.326
18.0 	 75.799 	 101.474
18.1 	 75.799 	 101.743
18.2 	 75.799 	 102.142
18.3 	 75.699 	 100.072
18.4 	 75.699 	 100.594
18.5 	 75.699 	 101.068
18.6 	 75.699 	 101.505
18.7 	 75.699 	 101.917
18.8 	 75.699 	 102.317
18.9 	 75.599 	 100.116
19.0 	 75.599 	 100.529
19.1 	 75.599 	 100.969
19.2 	 75.599 	 101.449
19.3 	 75.599 	 101.984
19.4 	 75.599 	 102.587
19.5 	 75.499 	 100.649
19.6 	 75.499 	 101.095
19.7 	 75.499 	 101.184
19.8 	 75.499 	 100.924
19.9 	 75.499 	 100.326
20.0 	 75.599 	 102.003
20.1 	 75.599 	 100.753
20.2 	 75.699 	 101.793
20.3 	 75.799 	 102.527
20.4 	 75.799 	 100.366
20.5 	 75.899 	 100.516
20.6 	 75.999 	 100.384
20.7 	 76.199 	 102.566
20.8 	 76.299 	 101.894
20.9 	 76.399 	 100.967
21.0 	 76.599 	 102.367
21.1 	 76.699 	 100.953
21.2 	 76.899 	 101.872
21.3 	 76.999 	 100.008
21.4 	 77.199 	 100.485
21.5 	 77.399 	 100.752
21.6 	 77.599 	 100.819
21.7 	 77.799 	 100.695
21.8 	 77.999 	 100.393
21.9 	 78.299 	 102.438
22.0 	 78.499 	 101.802
22.1 	 78.699 	 101.019
22.2 	 78.899 	 100.103
22.3 	 79.199 	 101.551
22.4 	 79.399 	 100.397
22.5 	 79.699 	 101.619
22.6 	 79.899 	 100.281
22.7 	 80.199 	 101.332
22.8 	 80.499 	 102.314
22.9 	 80.699 	 100.805
23.0 	 80.999 	 101.706
23.1 	 81.199 	 100.164
23.2 	 81.499 	 101.051
23.3 	 81.799 	 101.954
23.4 	 81.999 	 100.490
23.5 	 82.299 	 101.487
23.6 	 82.499 	 100.172
23.7 	 82.799 	 101.344
23.8 	 82.999 	 100.258
23.9 	 83.299 	 101.689
24.0 	 83.499 	 100.919
24.1 	 83.699 	 100.344
24.2 	 83.999 	 102.335
24.3 	 84.199 	 102.213
24.4 	 84.299 	 100.023
24.5 	 84.499 	 100.464
24.6 	 84.699 	 101.220
24.7 	 84.899 	 102.318
24.8 	 84.999 	 101.464
24.9 	 85.099 	 101.010
