aoa	knots	lift
-2.1 	 179.902 	 100.034
-2.0 	 172.101 	 100.850
-1.9 	 165.201 	 101.122
-1.8 	 159.001 	 100.495
-1.7 	 153.500 	 100.586
-1.6 	 148.500 	 100.203
-1.5 	 144.000 	 100.414
-1.4 	 139.899 	 100.787
-1.3 	 136.099 	 100.654
-1.2 	 132.599 	 100.614
-1.1 	 129.399 	 101.219
-1.0 	 126.399 	 101.431
-0.9 	 123.499 	 100.034
-0.8 	 120.899 	 100.515
-0.7 	 118.499 	 101.646
-0.6 	 116.099 	 100.357
-0.5 	 113.899 	 100.183
-0.4 	 111.899 	 101.403
-0.3 	 109.899 	 100.711
-0.2 	 108.099 	 101.804
-0.1 	 106.299 	 101.234
-0.0 	 104.599 	 100.932
0.1 	 102.999 	 101.034
0.2 	 101.499 	 101.674
0.3 	 99.999 	 101.015
0.4 	 98.599 	 101.085
0.5 	 97.299 	 102.003
0.6 	 95.999 	 101.837
0.7 	 94.699 	 100.614
0.8 	 93.499 	 100.462
0.9 	 92.399 	 101.484
1.0 	 91.299 	 101.631
1.1 	 90.199 	 100.923
1.2 	 89.199 	 101.582
1.3 	 88.199 	 101.476
1.4 	 87.199 	 100.621
1.5 	 86.299 	 101.310
1.6 	 85.399 	 101.331
1.7 	 84.499 	 100.697
1.8 	 83.699 	 101.769
1.9 	 82.899 	 102.261
2.0 	 82.099 	 102.183
2.1 	 81.299 	 101.546
2.2 	 80.499 	 100.362
2.3 	 79.799 	 101.100
2.4 	 79.099 	 101.356
2.5 	 78.399 	 101.137
2.6 	 77.699 	 100.451
2.7 	 77.099 	 101.856
2.8 	 76.399 	 100.284
2.9 	 75.799 	 100.859
3.0 	 75.199 	 101.040
3.1 	 74.599 	 100.835
3.2 	 73.999 	 100.249
3.3 	 73.499 	 101.960
3.4 	 72.899 	 100.650
3.5 	 72.399 	 101.690
3.6 	 71.899 	 102.412
3.7 	 71.299 	 100.068
3.8 	 70.799 	 100.147
3.9 	 70.399 	 102.715
4.0 	 69.900 	 102.210
4.1 	 69.400 	 101.409
4.2 	 68.900 	 100.318
4.3 	 68.500 	 101.807
4.4 	 68.000 	 100.163
4.5 	 67.600 	 101.144
4.6 	 67.200 	 101.886
4.7 	 66.800 	 102.392
4.8 	 66.400 	 102.664
4.9 	 66.000 	 102.707
5.0 	 65.600 	 102.522
5.1 	 65.200 	 102.112
5.2 	 64.800 	 101.482
5.3 	 64.400 	 100.632
5.4 	 64.100 	 102.633
5.5 	 63.700 	 101.370
5.6 	 63.400 	 102.998
5.7 	 63.000 	 101.332
5.8 	 62.700 	 102.596
5.9 	 62.300 	 100.536
6.0 	 62.000 	 101.443
6.1 	 61.700 	 102.185
6.2 	 61.400 	 102.761
6.3 	 61.100 	 103.175
6.4 	 60.700 	 100.192
6.5 	 60.400 	 100.269
6.6 	 60.100 	 100.188
6.7 	 59.900 	 103.236
6.8 	 59.600 	 102.860
6.9 	 59.300 	 102.333
7.0 	 59.000 	 101.654
7.1 	 58.700 	 100.825
7.2 	 58.500 	 103.212
7.3 	 58.200 	 102.104
7.4 	 57.900 	 100.851
7.5 	 57.700 	 102.863
7.6 	 57.400 	 101.338
7.7 	 57.200 	 103.112
7.8 	 56.900 	 101.322
7.9 	 56.700 	 102.862
8.0 	 56.400 	 100.811
8.1 	 56.200 	 102.122
8.2 	 56.000 	 103.247
8.3 	 55.700 	 100.592
8.4 	 55.500 	 101.203
8.5 	 55.300 	 101.569
8.6 	 55.100 	 101.695
8.7 	 54.900 	 101.582
8.8 	 54.700 	 101.236
8.9 	 54.500 	 100.661
9.0 	 54.400 	 103.477
9.1 	 54.200 	 102.462
9.2 	 54.000 	 101.218
9.3 	 53.900 	 103.157
9.4 	 53.700 	 100.891
9.5 	 53.600 	 101.738
9.6 	 53.500 	 102.054
9.7 	 53.400 	 101.847
9.8 	 53.300 	 101.121
9.9 	 53.300 	 103.578
10.0 	 53.200 	 101.838
10.1 	 53.200 	 103.300
10.2 	 53.100 	 100.569
10.3 	 53.100 	 101.053
10.4 	 53.100 	 101.055
10.5 	 53.100 	 100.581
10.6 	 53.200 	 103.332
10.7 	 53.200 	 101.910
10.8 	 53.200 	 100.022
10.9 	 53.300 	 101.360
11.0 	 53.400 	 102.231
11.1 	 53.500 	 102.634
11.2 	 53.600 	 102.573
11.3 	 53.700 	 102.050
11.4 	 53.800 	 101.066
11.5 	 54.000 	 103.272
11.6 	 54.100 	 101.367
11.7 	 54.300 	 102.635
11.8 	 54.500 	 103.432
11.9 	 54.600 	 100.158
12.0 	 54.800 	 100.030
12.1 	 55.100 	 103.008
12.2 	 55.300 	 101.937
12.3 	 55.500 	 100.408
12.4 	 55.800 	 101.947
12.5 	 56.100 	 103.002
12.6 	 56.300 	 100.082
12.7 	 56.600 	 100.193
12.8 	 57.000 	 103.284
12.9 	 57.300 	 102.431
13.0 	 57.600 	 101.113
13.1 	 58.000 	 102.733
13.2 	 58.300 	 100.488
13.3 	 58.700 	 101.152
13.4 	 59.100 	 101.338
13.5 	 59.500 	 101.058
13.6 	 59.900 	 100.321
13.7 	 60.400 	 102.398
13.8 	 60.800 	 100.761
13.9 	 61.300 	 101.918
14.0 	 61.800 	 102.627
14.1 	 62.300 	 102.905
14.2 	 62.800 	 102.771
14.3 	 63.300 	 102.249
14.4 	 63.800 	 101.363
14.5 	 64.300 	 100.140
14.6 	 64.900 	 101.641
14.7 	 65.500 	 102.818
14.8 	 66.000 	 100.721
14.9 	 66.600 	 101.379
15.0 	 67.200 	 101.828
15.1 	 67.800 	 102.113
15.2 	 68.400 	 102.286
15.3 	 69.000 	 102.401
15.4 	 69.600 	 102.514
15.5 	 70.200 	 102.691
15.6 	 70.699 	 100.215
15.7 	 71.299 	 100.746
15.8 	 71.899 	 101.555
15.9 	 72.399 	 100.008
16.0 	 72.999 	 101.642
16.1 	 73.499 	 101.136
16.2 	 73.999 	 101.297
16.3 	 74.499 	 102.221
16.4 	 74.899 	 101.383
16.5 	 75.299 	 101.540
16.6 	 75.599 	 100.194
16.7 	 75.899 	 100.035
16.8 	 76.199 	 100.750
16.9 	 76.499 	 102.301
17.0 	 76.699 	 102.188
17.1 	 76.799 	 100.497
17.2 	 76.999 	 102.422
17.3 	 76.999 	 100.312
17.4 	 77.099 	 101.748
17.5 	 77.099 	 101.668
17.6 	 76.999 	 100.128
17.7 	 76.999 	 102.203
17.8 	 76.899 	 101.795
17.9 	 76.799 	 101.176
18.0 	 76.699 	 100.349
18.1 	 76.699 	 101.886
18.2 	 76.599 	 100.659
18.3 	 76.599 	 101.808
18.4 	 76.499 	 100.185
18.5 	 76.499 	 100.798
18.6 	 76.499 	 101.050
18.7 	 76.499 	 100.951
18.8 	 76.499 	 100.511
18.9 	 76.599 	 102.310
19.0 	 76.599 	 101.212
19.1 	 76.699 	 102.369
19.2 	 76.699 	 100.651
19.3 	 76.799 	 101.200
19.4 	 76.899 	 101.458
19.5 	 76.999 	 101.431
19.6 	 77.099 	 101.129
