aoa	lift	drag	lvsd
-5.0	-0.695	0.080	-8.735
-4.9	-0.651	0.090	-7.270
-4.8	-0.607	0.099	-6.123
-4.7	-0.562	0.108	-5.195
-4.6	-0.518	0.117	-4.425
-4.5	-0.474	0.126	-3.772
-4.4	-0.430	0.134	-3.210
-4.3	-0.386	0.142	-2.718
-4.2	-0.342	0.150	-2.283
-4.1	-0.298	0.157	-1.893
-4.0	-0.254	0.165	-1.541
-3.9	-0.210	0.172	-1.221
-3.8	-0.166	0.179	-0.928
-3.7	-0.122	0.186	-0.657
-3.6	-0.078	0.192	-0.406
-3.5	-0.034	0.199	-0.172
-3.4	0.010	0.205	0.047
-3.3	0.053	0.212	0.252
-3.2	0.097	0.218	0.446
-3.1	0.141	0.224	0.629
-3.0	0.184	0.230	0.802
-2.9	0.228	0.236	0.967
-2.8	0.272	0.242	1.123
-2.7	0.315	0.248	1.273
-2.6	0.359	0.253	1.416
-2.5	0.402	0.259	1.553
-2.4	0.446	0.265	1.684
-2.3	0.489	0.270	1.810
-2.2	0.533	0.276	1.931
-2.1	0.576	0.281	2.048
-2.0	0.620	0.287	2.160
-1.9	0.663	0.292	2.268
-1.8	0.707	0.298	2.373
-1.7	0.750	0.303	2.474
-1.6	0.793	0.308	2.571
-1.5	0.837	0.314	2.666
-1.4	0.880	0.319	2.758
-1.3	0.923	0.324	2.848
-1.2	0.966	0.329	2.934
-1.1	1.009	0.334	3.019
-1.0	1.053	0.339	3.101
-0.9	1.096	0.345	3.180
-0.8	1.139	0.350	3.258
-0.7	1.182	0.355	3.333
-0.6	1.225	0.360	3.407
-0.5	1.268	0.365	3.478
-0.4	1.311	0.370	3.548
-0.3	1.354	0.375	3.615
-0.2	1.397	0.380	3.681
-0.1	1.440	0.385	3.745
-0.0	1.483	0.390	3.807
0.1	1.526	0.395	3.868
0.2	1.569	0.400	3.926
0.3	1.612	0.405	3.984
0.4	1.654	0.410	4.039
0.5	1.697	0.415	4.093
0.6	1.740	0.420	4.146
0.7	1.783	0.425	4.197
0.8	1.825	0.430	4.247
0.9	1.868	0.435	4.295
1.0	1.911	0.440	4.342
1.1	1.953	0.445	4.388
1.2	1.996	0.450	4.432
1.3	2.038	0.455	4.475
1.4	2.081	0.461	4.517
1.5	2.123	0.466	4.557
1.6	2.166	0.471	4.597
1.7	2.208	0.476	4.635
1.8	2.250	0.482	4.672
1.9	2.293	0.487	4.708
2.0	2.335	0.492	4.742
2.1	2.377	0.498	4.776
2.2	2.419	0.503	4.809
2.3	2.462	0.509	4.841
2.4	2.504	0.514	4.871
2.5	2.546	0.519	4.901
2.6	2.588	0.525	4.930
2.7	2.630	0.531	4.957
2.8	2.672	0.536	4.984
2.9	2.714	0.542	5.010
3.0	2.756	0.547	5.035
3.1	2.798	0.553	5.059
3.2	2.840	0.559	5.083
3.3	2.881	0.564	5.105
3.4	2.923	0.570	5.127
3.5	2.965	0.576	5.148
3.6	3.006	0.582	5.168
3.7	3.048	0.588	5.188
3.8	3.090	0.593	5.206
3.9	3.131	0.599	5.224
4.0	3.173	0.605	5.242
4.1	3.214	0.611	5.258
4.2	3.255	0.617	5.274
4.3	3.297	0.623	5.289
4.4	3.338	0.629	5.304
4.5	3.379	0.635	5.318
4.6	3.421	0.642	5.332
4.7	3.462	0.648	5.344
4.8	3.503	0.654	5.357
4.9	3.544	0.660	5.368
5.0	3.585	0.666	5.379
5.1	3.626	0.673	5.390
5.2	3.667	0.679	5.399
5.3	3.707	0.686	5.403
5.4	3.748	0.693	5.406
5.5	3.789	0.700	5.409
5.6	3.830	0.708	5.412
5.7	3.870	0.715	5.414
5.8	3.911	0.722	5.416
5.9	3.951	0.729	5.418
6.0	3.991	0.737	5.419
6.1	4.032	0.744	5.420
6.2	4.072	0.751	5.421
6.3	4.112	0.759	5.421
6.4	4.153	0.766	5.421
6.5	4.193	0.773	5.421
