aoa, knots, lift
-1.00, 168.9, 100.7
-0.90, 164.5, 100.3
-0.80, 160.5, 100.9
-0.70, 156.7, 100.4
-0.60, 153.2, 100.6
-0.50, 149.9, 100.3
-0.40, 146.8, 100.0
-0.30, 144.0, 101.3
-0.20, 141.2, 100.4
-0.10, 138.6, 100.1
+0.00, 136.2, 100.7
+0.10, 133.9, 100.9
+0.20, 131.7, 101.0
+0.30, 129.6, 100.9
+0.40, 127.6, 100.9
+0.50, 125.7, 101.0
+0.60, 123.9, 101.4
+0.70, 122.1, 100.5
+0.80, 120.4, 100.1
+0.90, 118.8, 100.2
+1.00, 117.3, 100.9
+1.10, 115.8, 100.6
+1.20, 114.4, 101.1
+1.30, 113.0, 100.7
+1.40, 111.7, 101.1
+1.50, 110.4, 100.8
+1.60, 109.2, 101.4
+1.70, 108.0, 101.4
+1.80, 106.8, 100.6
+1.90, 105.7, 100.9
+2.00, 104.6, 100.6
+2.10, 103.6, 101.6
+2.20, 102.5, 100.0
+2.30, 101.6, 101.7
+2.40, 100.6, 101.0
+2.50, 99.7, 101.6
+2.60, 98.8, 101.8
+2.70, 97.9, 101.4
+2.80, 97.0, 100.6
+2.90, 96.2, 101.3
+3.00, 95.4, 101.6
+3.10, 94.6, 101.4
+3.20, 93.8, 100.9
+3.30, 93.1, 102.0
+3.40, 92.3, 100.6
+3.50, 91.6, 101.0
+3.60, 90.9, 101.0
+3.70, 90.2, 100.6
+3.80, 89.6, 102.1
+3.90, 88.9, 101.1
+4.00, 88.3, 102.0
+4.10, 87.6, 100.3
+4.20, 87.0, 100.5
+4.30, 86.4, 100.5
+4.40, 85.8, 100.1
+4.50, 85.3, 101.8
+4.60, 84.7, 100.9
+4.70, 84.2, 102.0
+4.80, 83.6, 100.6
+4.90, 83.1, 101.3
+5.00, 82.6, 101.7
+5.10, 82.1, 101.9
+5.20, 81.6, 101.8
+5.30, 81.1, 101.5
+5.40, 80.6, 101.0
+5.50, 80.1, 100.3
+5.60, 79.7, 101.8
+5.70, 79.2, 100.6
+5.80, 78.8, 101.8
+5.90, 78.3, 100.2
+6.00, 77.9, 100.9
+6.10, 77.5, 101.3
+6.20, 77.1, 101.4
+6.30, 76.7, 101.2
+6.40, 76.3, 100.8
+6.50, 75.9, 100.2
+6.60, 75.6, 101.9
+6.70, 75.2, 100.7
+6.80, 74.9, 101.9
+6.90, 74.5, 100.3
+7.00, 74.2, 101.0
+7.10, 73.9, 101.5
+7.20, 73.6, 101.9
+7.30, 73.3, 102.0
+7.40, 73.0, 101.9
+7.50, 72.7, 101.5
+7.60, 72.4, 101.0
+7.70, 72.1, 100.3
+7.80, 71.9, 102.1
+7.90, 71.6, 101.0
+8.00, 71.4, 102.4
+8.10, 71.1, 101.0
+8.20, 70.9, 101.8
+8.30, 70.7, 102.2
+8.40, 70.5, 102.1
+8.50, 70.3, 101.6
+8.60, 70.1, 100.5
+8.70, 70.0, 101.9
+8.80, 69.9, 102.8
+8.90, 69.7, 100.4
+9.00, 69.6, 100.4
+9.10, 69.6, 102.8
+9.20, 69.5, 102.0
+9.30, 69.4, 100.7
+9.40, 69.4, 101.8
+9.50, 69.4, 102.6
+9.60, 69.3, 100.1
+9.70, 69.4, 102.8
+9.80, 69.4, 102.3
+9.90, 69.4, 101.4
+10.00, 69.4, 100.1
+10.10, 69.5, 101.3
+10.20, 69.6, 102.0
+10.30, 69.7, 102.4
+10.40, 69.8, 102.3
+10.50, 69.9, 101.8
+10.60, 70.0, 101.0
+10.70, 70.2, 102.5
+10.80, 70.3, 100.9
+10.90, 70.5, 101.6
+11.00, 70.7, 102.0
+11.10, 70.9, 101.9
+11.20, 71.1, 101.5
