aoa	Lift	Drag	LvsD
-12	-0.9293	0.0685	-13.5632
-11	-0.7345	0.0918	-7.9983
-10	-0.5392	0.1169	-4.6107
-9	-0.3438	0.1431	-2.4014
-8	-0.1483	0.1706	-0.8692
-7	0.0470	0.1995	0.2356
-6	0.2419	0.2298	1.0527
-5	0.4362	0.2616	1.6673
-4	0.6298	0.2951	2.1344
-3	0.8223	0.3301	2.4913
-2	1.0136	0.3667	2.7644
-1	1.2035	0.4048	2.9727
 0	1.3917	0.4446	3.1303
 1	1.5779	0.4858	3.2480
 2	1.7621	0.5288	3.3321
 3	1.9439	0.5732	3.3914
 4	2.1231	0.6189	3.4305
 5	2.2996	0.6659	3.4533
 6	2.4731	0.7142	3.4628
 7	2.6434	0.7637	3.4614
 8	2.8103	0.8143	3.4510
 9	2.9736	0.8661	3.4333
10	3.1332	0.9189	3.4095
11	3.2887	0.9728	3.3808
12	3.4401	1.0275	3.3480
13	3.5871	1.0831	3.3118
14	2.9698	0.9133	3.2518
15	1.4353	0.3422	4.1939
16	1.5097	0.3640	4.1472
17	1.5849	0.3875	4.0896
18	1.4399	0.3893	3.6986
19	1.4055	0.4010	3.5048
20	1.4672	0.4230	3.4685
21	1.5179	0.4442	3.4172
22	1.5664	0.4655	3.3649
23	1.6127	0.4870	3.3117
24	1.6566	0.5085	3.2579
25	1.6982	0.5301	3.2036
26	1.7374	0.5517	3.1489
27	1.7741	0.5734	3.0939
28	1.8083	0.5951	3.0388
29	1.8399	0.6167	2.9835
30	1.8690	0.6383	2.9282
31	1.8955	0.6598	2.8729
32	1.9193	0.6812	2.8176
33	1.9405	0.7025	2.7623
34	1.9590	0.7237	2.7071
35	1.9748	0.7447	2.6520
36	1.9879	0.7655	2.5969
37	1.9983	0.7861	2.5420
38	2.0059	0.8065	2.4871
39	2.0107	0.8266	2.4324
40	2.0128	0.8465	2.3777
41	2.0121	0.8661	2.3231
42	2.0087	0.8855	2.2686
43	2.0025	0.9044	2.2141
44	1.9936	0.9231	2.1597
45	1.9820	0.9414	2.1054
46	1.9676	0.9593	2.0511
47	1.9505	0.9768	1.9968
48	1.9307	0.9939	1.9425
49	1.9083	1.0106	1.8882
50	1.8832	1.0269	1.8340
51	1.8556	1.0427	1.7796
52	1.8253	1.0580	1.7253
53	1.7925	1.0728	1.6708
54	1.7572	1.0872	1.6163
55	1.7194	1.1010	1.5617
56	1.6793	1.1143	1.5070
57	1.6367	1.1270	1.4522
58	1.5918	1.1392	1.3973
59	1.5446	1.1508	1.3422
60	1.4952	1.1619	1.2869
61	1.4436	1.1723	1.2314
62	1.3899	1.1822	1.1757
63	1.3342	1.1914	1.1198
64	1.2764	1.2000	1.0637
65	1.2168	1.2080	1.0073
66	1.1553	1.2153	0.9506
67	1.0920	1.2220	0.8936
68	1.0270	1.2281	0.8362
69	0.9603	1.2334	0.7786
70	0.8921	1.2381	0.7205
71	0.8224	1.2421	0.6621
72	0.7513	1.2454	0.6033
73	0.6789	1.2480	0.5440
74	0.6052	1.2499	0.4842
75	0.5304	1.2511	0.4240
76	0.4546	1.2516	0.3632
77	0.3777	1.2513	0.3018
78	0.3000	1.2504	0.2399
79	0.2215	1.2487	0.1773
80	0.1422	1.2463	0.1141
81	0.0624	1.2432	0.0502
82	-0.0180	1.2394	-0.0145
83	-0.0987	1.2348	-0.0799
84	-0.1798	1.2296	-0.1462
85	-0.2611	1.2236	-0.2134
86	-0.3425	1.2168	-0.2815
87	-0.4240	1.2094	-0.3506
88	-0.5054	1.2012	-0.4207
89	-0.5866	1.1924	-0.4920
90	0.5888	1.1864	0.4962
# cl_max 3.5871 at 13 deg
# cd_min 0.0685 at -12 deg
# ld_max 4.1939 at 15 deg
