aoa	lift	drag
-15	-0.8864	0.9817
-14	-1.2823	0.7419
-13	-0.9059	0.8233
-12	-0.5293	0.9094
-11	-0.1529	1.0001
-10	0.2228	1.0953
-9	0.5973	1.1949
-8	0.9700	1.2987
-7	1.3406	1.4066
-6	1.7085	1.5185
-5	2.0732	1.6342
-4	2.4344	1.7536
-3	2.7914	1.8766
-2	3.1439	2.0029
-1	3.4914	2.1324
 0	3.8334	2.2649
 1	4.1696	2.4003
 2	4.4995	2.5384
 3	4.8225	2.6802
 4	5.1380	2.8294
 5	5.4457	2.9807
 6	5.7453	3.1339
 7	6.0363	3.2888
 8	6.3183	3.4453
 9	6.5911	3.6031
10	6.8543	3.7619
11	7.1075	3.9217
12	7.3505	4.0822
13	7.5828	4.2433
14	6.3420	3.6654
15	2.4961	1.0466
16	2.6193	1.1042
17	2.2265	1.0933
18	2.3540	1.1560
19	2.5113	1.2252
20	2.5926	1.2837
21	2.6693	1.3419
22	2.7413	1.3999
23	2.8085	1.4574
24	2.8708	1.5146
25	2.9283	1.5712
26	2.9808	1.6272
27	3.0282	1.6826
28	3.0706	1.7374
29	3.1079	1.7914
30	3.1401	1.8445
31	3.1671	1.8969
32	3.1889	1.9483
33	3.2055	1.9987
34	3.2168	2.0482
35	3.2230	2.0966
36	3.2239	2.1438
37	3.2196	2.1899
38	3.2101	2.2349
39	3.1954	2.2785
40	3.1756	2.3210
41	3.1506	2.3620
42	3.1204	2.4018
43	3.0853	2.4401
44	3.0451	2.4770
45	2.9999	2.5125
46	2.9498	2.5464
47	2.8948	2.5789
48	2.8350	2.6098
49	2.7706	2.6392
50	2.7014	2.6669
51	2.6277	2.6931
52	2.5495	2.7176
53	2.4669	2.7404
54	2.3801	2.7616
55	2.2890	2.7811
56	2.1938	2.7989
57	2.0946	2.8150
58	1.9916	2.8294
59	1.8847	2.8420
60	1.7743	2.8529
61	1.6603	2.8620
62	1.5430	2.8694
63	1.4223	2.8750
64	1.2986	2.8788
65	1.1719	2.8809
66	1.0423	2.8812
67	0.9101	2.8798
68	0.7753	2.8766
69	0.6382	2.8716
70	0.4988	2.8649
71	0.3573	2.8564
72	0.2140	2.8462
73	0.0689	2.8343
74	-0.0778	2.8206
75	-0.2258	2.8053
76	-0.3752	2.7882
77	-0.5255	2.7695
78	-0.6768	2.7491
79	-0.8287	2.7270
80	-0.9812	2.7034
81	-1.1341	2.6781
82	-1.2871	2.6513
83	-1.4401	2.6229
84	-1.5930	2.5929
85	-1.7454	2.5615
86	-1.8973	2.5285
87	-2.0485	2.4942
88	-2.1988	2.4584
89	-2.3479	2.4212
90	2.3598	2.3963
# cl_max 7.5828 at 13 deg
# cd_min 0.7419 at -14 deg
# ld_max 2.3849 at 15 deg
