aoa	lift	drag
-15	-1.2117	0.1841
-14	-1.3936	0.1080
-13	-1.2058	0.0857
-12	-1.0071	0.1052
-11	-0.8076	0.1260
-10	-0.6075	0.1484
-9	-0.4070	0.1725
-8	-0.2063	0.1982
-7	-0.0056	0.2257
-6	0.1948	0.2549
-5	0.3948	0.2859
-4	0.5941	0.3187
-3	0.7925	0.3533
-2	0.9896	0.3896
-1	1.1854	0.4274
 0	1.3795	0.4669
 1	1.5718	0.5079
 2	1.7620	0.5505
 3	1.9498	0.5949
 4	2.1350	0.6417
 5	2.3174	0.6899
 6	2.4967	0.7395
 7	2.6728	0.7905
 8	2.8455	0.8426
 9	3.0144	0.8960
10	3.1795	0.9504
11	3.3405	1.0060
12	3.4972	1.0625
13	3.6495	1.1199
14	3.0106	0.9440
15	1.4222	0.3528
16	1.4993	0.3753
17	1.5774	0.3996
18	1.6532	0.4243
19	1.4087	0.4120
20	1.4835	0.4361
21	1.5540	0.4604
22	1.6041	0.4825
23	1.6519	0.5048
24	1.6973	0.5272
25	1.7403	0.5497
26	1.7808	0.5722
27	1.8187	0.5948
28	1.8541	0.6173
29	1.8869	0.6399
30	1.9170	0.6624
31	1.9444	0.6848
32	1.9691	0.7072
33	1.9910	0.7294
34	2.0102	0.7515
35	2.0266	0.7734
36	2.0401	0.7951
37	2.0509	0.8167
38	2.0588	0.8380
39	2.0639	0.8590
40	2.0661	0.8798
41	2.0655	0.9003
42	2.0620	0.9205
43	2.0557	0.9403
44	2.0466	0.9598
45	2.0346	0.9789
46	2.0198	0.9976
47	2.0022	1.0159
48	1.9818	1.0338
49	1.9587	1.0512
50	1.9329	1.0682
51	1.9043	1.0846
52	1.8731	1.1006
53	1.8393	1.1161
54	1.8029	1.1310
55	1.7639	1.1454
56	1.7225	1.1592
57	1.6785	1.1725
58	1.6322	1.1852
59	1.5835	1.1972
60	1.5325	1.2087
61	1.4793	1.2195
62	1.4239	1.2297
63	1.3663	1.2392
64	1.3067	1.2481
65	1.2452	1.2563
66	1.1817	1.2638
67	1.1164	1.2706
68	1.0493	1.2768
69	0.9805	1.2822
70	0.9101	1.2869
71	0.8382	1.2909
72	0.7649	1.2941
73	0.6902	1.2967
74	0.6142	1.2984
75	0.5370	1.2995
76	0.4588	1.2997
77	0.3795	1.2993
78	0.2993	1.2981
79	0.2184	1.2961
80	0.1367	1.2933
81	0.0544	1.2898
82	-0.0285	1.2856
83	-0.1117	1.2806
84	-0.1953	1.2748
85	-0.2791	1.2683
86	-0.3630	1.2610
87	-0.4470	1.2530
88	-0.5308	1.2442
89	-0.6145	1.2347
90	0.6239	1.2282
# cl_max 3.6495 at 13 deg
# cd_min 0.0857 at -13 deg
# ld_max 4.0316 at 15 deg
